Name,Address,Rating,User Ratings Total,Latitude,Longitude,Phone,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,serves_vegetarian_food,url,Price_level,
小歇,112台灣台北市北投區大興街21號,3.9,316,25.1300468,121.4983847,+886 2 2897 8582,星期一: 11:30 – 20:30,星期二: 11:30 – 20:30,星期三: 11:30 – 20:30,星期四: 11:30 – 21:00,星期五: 11:30 – 20:30,星期六: 11:30 – 20:30,星期日: 11:30 – 20:30,,https://maps.google.com/?cid=7986913998278648845,1,
遇見pasta義大利麵,112台灣台北市北投區實踐街31號,4.6,73,25.1151974,121.5085376,+886 2 2820 1086,"星期一: 11:30 – 14:00, 17:00 – 20:00",星期二: 休息,"星期三: 11:30 – 14:00, 17:00 – 20:00","星期四: 11:30 – 14:00, 17:00 – 20:00","星期五: 11:30 – 14:00, 17:00 – 20:00","星期六: 11:30 – 14:00, 17:00 – 20:00","星期日: 11:30 – 14:00, 17:00 – 20:00",,https://maps.google.com/?cid=11951444806377671614,,
來喫川菜,112台灣台北市北投區東華街二段180號,4.3,149,25.120279,121.510979,+886 2 2822 1816,星期一: 休息,"星期二: 11:30 – 14:00, 17:00 – 21:00","星期三: 11:30 – 14:00, 17:00 – 21:00","星期四: 11:30 – 14:00, 17:00 – 21:00","星期五: 11:30 – 14:00, 17:00 – 21:00","星期六: 11:30 – 14:00, 17:00 – 21:00","星期日: 11:30 – 14:00, 17:00 – 21:00",,https://maps.google.com/?cid=3137813661664940312,2,
Q仔素 Q vegetarian Restaurants,112台灣台北市北投區致遠二路121號,4.5,88,25.1170159,121.5123407,+886 2 2821 1026,星期一: 休息,"星期二: 11:00 – 14:00, 17:00 – 20:00","星期三: 11:00 – 14:00, 17:00 – 20:00","星期四: 11:00 – 14:00, 17:00 – 20:00","星期五: 11:00 – 14:00, 17:00 – 20:00","星期六: 11:00 – 14:00, 17:00 – 20:00","星期日: 11:00 – 14:00, 17:00 – 20:00",TRUE,https://maps.google.com/?cid=2282070202965507270,,
松園禪林,111台灣台北市士林區菁山路101巷160號,4.2,788,25.1586442,121.5655802,+886 900 751 385,星期一: 休息,"星期二: 10:00 – 15:00, 18:00 – 21:00",星期三: 06:00 – 21:00,"星期四: 10:00 – 15:00, 18:00 – 21:00","星期五: 10:00 – 15:00, 18:00 – 21:00","星期六: 10:00 – 15:00, 18:00 – 21:00","星期日: 10:00 – 15:00, 18:00 – 21:00",TRUE,https://maps.google.com/?cid=1721318388335016534,3,
陽明春天・心五藝文創園區 (陽明總店),111台灣台北市士林區菁山路119-1號,4.6,1273,25.1441953,121.5593891,+886 2 2862 0178,星期一: 11:30 – 14:30,星期二: 11:30 – 21:00,星期三: 11:30 – 21:00,星期四: 11:30 – 21:00,星期五: 11:30 – 21:00,星期六: 11:30 – 21:00,星期日: 11:30 – 21:00,TRUE,https://maps.google.com/?cid=1867166593851202708,3,
VVG Hideaway 好樣秘境,111台灣台北市士林區菁山路136-1號,3.8,1647,25.1425648,121.564755,+886 2 2862 6488,星期一: 11:00 – 19:30,星期二: 11:00 – 19:30,星期三: 11:00 – 19:30,星期四: 11:00 – 19:30,星期五: 11:00 – 19:30,星期六: 11:00 – 19:30,星期日: 11:00 – 19:30,TRUE,https://maps.google.com/?cid=17219910503941354582,3,
海拔520 佳和園 野生愛玉,111台灣台北市士林區平菁街93巷79-1號號旁,4.3,29,25.143266,121.577751,+886 2 2861 0851,星期一: 11:00 – 17:00,星期二: 11:00 – 17:00,星期三: 11:00 – 17:00,星期四: 11:00 – 17:00,"星期五: 09:00 – 13:00, 15:00 – 17:00",星期六: 11:00 – 18:00,星期日: 休息,,https://maps.google.com/?cid=7194575030993215115,,
台北奧萬大,111台灣台北市士林區平菁街10巷13號,3.9,2099,25.1424397,121.5706707,+886 2 2861 9862,星期一: 10:00 – 18:00,星期二: 10:00 – 18:00,星期三: 休息,星期四: 10:00 – 18:00,星期五: 10:00 – 18:00,星期六: 09:00 – 18:00,星期日: 09:00 – 18:00,TRUE,https://maps.google.com/?cid=13329705175961717369,2,
運鈍根湯-陽明山店 (預約制),111台灣台北市士林區平菁街18號,4.4,138,25.1399772,121.57087,+886 2 2862 1588,星期一: 11:00 – 19:00,星期二: 11:00 – 19:00,星期三: 11:00 – 19:00,星期四: 11:00 – 19:00,星期五: 11:00 – 19:00,星期六: 11:00 – 19:00,星期日: 11:00 – 19:00,,https://maps.google.com/?cid=13824598795699684771,,
梅居休閒農場(餐廳/外帶外送/冷凍料理包),111台灣台北市士林區平等里平菁街43巷99號,4.4,193,25.1413207,121.5751742,+886 905 169 176,星期一: 休息,星期二: 09:00 – 17:00,星期三: 09:30 – 17:00,星期四: 09:30 – 17:00,星期五: 09:30 – 17:00,星期六: 09:30 – 17:00,星期日: 09:30 – 17:00,TRUE,https://maps.google.com/?cid=1437937707163158697,,
御禾宴餐館 - 家傳料理 亞洲料理 馬來西亞料理 土鷄料理 家庭聚餐 甜點 咖啡 複合式餐飲 景觀餐廳,111台灣台北市士林區平菁街9號,4.3,135,25.1410003,121.568509,+886 2 2861 6088,星期一: 休息,星期二: 休息,星期三: 休息,星期四: 休息,星期五: 休息,星期六: 11:00 – 20:30,星期日: 11:00 – 20:30,,https://maps.google.com/?cid=12345598068038101297,2,
華之友自然景觀農園,112台灣台北市北投區竹子湖路79之1號,4.5,337,25.1829196,121.5586782,+886 932 171 150,星期一: 10:30 – 18:00,星期二: 10:30 – 18:00,星期三: 10:30 – 18:00,星期四: 10:30 – 18:00,星期五: 10:30 – 18:00,星期六: 10:30 – 20:00,星期日: 10:30 – 20:00,TRUE,https://maps.google.com/?cid=15880819431402394330,2,
荷鋤茗園,111台灣台北市士林區菁山路131巷14號,4.2,105,25.1451109,121.5685405,+886 2 2861 3890,星期一: 12:00 – 17:00,星期二: 12:00 – 17:00,星期三: 12:00 – 17:00,星期四: 12:00 – 17:00,星期五: 12:00 – 17:00,星期六: 12:00 – 22:00,星期日: 12:00 – 22:00,,https://maps.google.com/?cid=2624831286786789418,,
橘餐廳,111台灣台北市士林區平菁街93巷26號,2,1,25.138338,121.578295,+886 2 2861 6228,星期一: 休息,星期二: 休息,星期三: 休息,星期四: 休息,星期五: 休息,星期六: 11:30 – 17:00,星期日: 11:30 – 17:00,,https://maps.google.com/?cid=14638182047244557856,,
全成土雞城,111台灣台北市士林區至善路三段336巷76號,4.1,729,25.135486,121.595822,+886 2 2841 2437,星期一: 11:00 – 20:00,星期二: 11:00 – 20:00,星期三: 11:00 – 20:00,星期四: 11:00 – 20:00,星期五: 11:00 – 20:00,星期六: 11:00 – 20:00,星期日: 11:00 – 20:00,,https://maps.google.com/?cid=1413798210060215214,2,
Na'vi Garden Restaurant,111台灣台北市士林區仰德大道三段250巷11弄51號,4,418,25.1313373,121.5497369,+886 2 2861 5800,星期一: 休息,星期二: 休息,星期三: 10:30 – 17:30,星期四: 10:30 – 17:30,星期五: 10:30 – 17:30,星期六: 10:30 – 17:30,星期日: 10:30 – 17:30,,https://maps.google.com/?cid=11352639073460860118,2,
日月農莊,111台灣台北市士林區竹子湖路211巷8號,3.7,888,25.1801348,121.5674305,+886 2 2861 4096,星期一: 07:00 – 22:00,星期二: 07:00 – 22:00,星期三: 07:00 – 22:00,星期四: 07:00 – 22:00,星期五: 07:00 – 22:00,星期六: 07:00 – 22:00,星期日: 07:00 – 22:00,,https://maps.google.com/?cid=17514928114601507381,,
小狗便當,111台灣台北市士林區格致路64號,4.2,71,25.137798,121.546678,+886 2 2861 2895,"星期一: 10:30 – 14:30, 17:30 – 21:00","星期二: 10:30 – 14:30, 17:30 – 21:00","星期三: 10:30 – 14:30, 17:30 – 21:00","星期四: 10:30 – 14:30, 17:30 – 21:00","星期五: 10:30 – 14:30, 17:30 – 21:00","星期六: 10:30 – 14:30, 17:30 – 21:00","星期日: 10:30 – 15:00, 17:30 – 21:00",,https://maps.google.com/?cid=17728895696398054196,1,
McCafé咖啡-陽明山店,111台灣台北市士林區格致路62號,4.5,25,25.1377696,121.5466632,+886 2 2861 7252,星期一: 07:00 – 22:00,星期二: 07:00 – 22:00,星期三: 07:00 – 22:00,星期四: 07:00 – 22:00,星期五: 07:00 – 22:00,星期六: 07:00 – 22:00,星期日: 07:00 – 22:00,,https://maps.google.com/?cid=14385650996580833764,,
禾園溫泉餐廳,112台灣北投區行義路300巷1號,3,1,25.138434,121.52855,+886 2 2873 0777,星期一: 11:00 – 21:00,星期二: 11:00 – 21:00,星期三: 11:00 – 21:00,星期四: 11:00 – 21:00,星期五: 11:00 – 21:00,星期六: 11:00 – 21:00,星期日: 11:00 – 21:00,,https://maps.google.com/?cid=15654474147440870532,,
小老板早餐店,111台灣台北市士林區德行東路336號,4.7,103,25.1102814,121.5377014,+886 2 2836 5008,星期一: 06:00 – 14:00,星期二: 06:00 – 14:00,星期三: 06:00 – 14:00,星期四: 06:00 – 14:00,星期五: 06:00 – 14:00,星期六: 06:00 – 14:00,星期日: 休息,FALSE,https://maps.google.com/?cid=3597983591228795663,1,
草山風情藥膳料理,111台灣台北市士林區平菁街18號,4.6,150,25.1392381,121.570035,+886 939 917 655,星期一: 休息,星期二: 休息,星期三: 休息,星期四: 休息,星期五: 休息,星期六: 08:30 – 15:30,星期日: 08:30 – 15:30,,https://maps.google.com/?cid=16395517940648851136,2,
京京健康早餐店,111台灣台北市士林區天母北路5號,4.2,141,25.1190075,121.5263438,+886 2 2873 3955,星期一: 06:00 – 13:30,星期二: 06:00 – 13:30,星期三: 06:00 – 13:30,星期四: 06:00 – 13:30,星期五: 06:00 – 13:30,星期六: 06:00 – 14:00,星期日: 06:00 – 14:00,TRUE,https://maps.google.com/?cid=4214179628907258344,1,
饌乾餐廳,111台灣士林區至善路三段30號,4,1,25.112326,121.563586,+886 2 2841 3722,星期一: 11:00 – 20:00,"星期二: 11:00 – 15:00, 16:00 – 20:00",星期三: 11:00 – 20:00,星期四: 11:00 – 20:00,星期五: 11:00 – 20:00,星期六: 11:00 – 20:00,星期日: 11:00 – 20:00,,https://maps.google.com/?cid=900750024210560850,,
三姐姐早餐店,111台灣台北市士林區仰德大道三段66號,3.9,75,25.1188579,121.5528623,+886 937 355 766,星期一: 04:00 – 13:45,星期二: 04:00 – 13:45,星期三: 04:00 – 13:45,星期四: 04:00 – 13:45,星期五: 04:00 – 13:45,星期六: 04:00 – 13:45,星期日: 04:00 – 13:45,,https://maps.google.com/?cid=3686443517211148369,1,
河內越南料理,208台灣新北市金山區環金路39號,3.7,1564,25.2171184,121.6393797,+886 2 2498 4712,"星期一: 11:00 – 15:00, 16:50 – 20:00","星期二: 11:00 – 15:00, 16:50 – 20:00",星期三: 休息,"星期四: 11:00 – 15:00, 16:50 – 20:00","星期五: 11:00 – 15:00, 16:50 – 20:00",星期六: 11:00 – 20:00,星期日: 11:00 – 20:00,TRUE,https://maps.google.com/?cid=10629514092455141089,2,
山農小吃,111台灣台北市士林區至善路三段336巷61之一號,4.3,182,25.1357776,121.5945159,+886 2 2841 2429,星期一: 11:00 – 21:00,星期二: 11:00 – 21:00,星期三: 11:00 – 21:00,星期四: 11:00 – 21:00,星期五: 11:00 – 21:00,星期六: 09:00 – 21:00,星期日: 09:00 – 21:00,,https://maps.google.com/?cid=1841477922595723819,,
梅居市民農園,"1.3 公里, 平菁街43巷士林區台北市台灣 111",4.8,9,25.1411539,121.5750495,,星期一: 10:00 – 18:00,星期二: 10:00 – 18:00,星期三: 10:00 – 18:00,星期四: 10:00 – 18:00,星期五: 10:00 – 18:00,星期六: 10:00 – 18:00,星期日: 10:00 – 18:00,,https://maps.google.com/?cid=6895350902592414279,,
絹絲谷 Silk Valley,111台灣台北市士林區永公路500巷46號,3.9,225,25.1360397,121.5711743,+886 2 2862 6217,星期一: 休息,星期二: 休息,星期三: 11:00 – 20:00,星期四: 11:00 – 20:00,星期五: 11:00 – 20:00,星期六: 11:00 – 20:00,星期日: 11:00 – 20:00,,https://maps.google.com/?cid=1755387281724785982,,
大榕樹土雞莊,111台灣台北市士林區平菁街108號,4,231,25.128807,121.574415,+886 2 2861 6653,星期一: 11:00 – 19:00,星期二: 休息,星期三: 休息,星期四: 11:00 – 19:00,星期五: 11:00 – 19:00,星期六: 11:00 – 19:00,星期日: 11:00 – 19:00,FALSE,https://maps.google.com/?cid=6407700560818853372,2,
客官農場,111台灣台北市士林區平菁街42巷6號,3.9,492,25.130403,121.572206,+886 2 2862 9886,星期一: 11:00 – 21:00,星期二: 11:00 – 21:00,星期三: 11:00 – 21:00,星期四: 11:00 – 21:00,星期五: 11:00 – 21:00,星期六: 11:00 – 21:00,星期日: 11:00 – 21:00,,https://maps.google.com/?cid=1135741580200013797,2,
甄饗蔬食烘焙坊,111094台灣台北市士林區平菁街106巷1號,4.5,2,25.1290756,121.5753692,+886 2 2862 3477,星期一: 10:30 – 17:30,星期二: 10:00 – 17:30,星期三: 10:30 – 17:30,星期四: 10:30 – 17:30,星期五: 10:30 – 17:30,星期六: 10:30 – 17:30,星期日: 10:30 – 17:30,TRUE,https://maps.google.com/?cid=1413841768060285925,,
松青農園,111台灣台北市士林區平菁街127號,4.1,27,25.1235246,121.572742,+886 2 2861 5939,星期一: 11:00 – 18:00,星期二: 11:00 – 18:00,星期三: 11:00 – 18:00,星期四: 11:00 – 18:00,星期五: 11:00 – 18:00,星期六: 11:00 – 18:00,星期日: 11:00 – 18:00,,https://maps.google.com/?cid=12558146101671630760,,
多摩食堂,111台灣台北市士林區忠誠路二段50巷2號1樓,4.4,1858,25.1108617,121.5302227,+886 2 2838 3950,"星期一: 11:30 – 14:00, 17:00 – 21:00",星期二: 休息,"星期三: 11:30 – 14:00, 17:00 – 21:00","星期四: 11:30 – 14:00, 17:00 – 21:00","星期五: 11:30 – 14:00, 17:00 – 21:00","星期六: 11:30 – 14:00, 17:00 – 21:00","星期日: 11:30 – 14:00, 17:00 – 21:00",,https://maps.google.com/?cid=10312936600117429438,2,
潼 鐵板料理至善店,111台灣台北市士林區至善路三段342號,4.3,532,25.12506,121.5878602,+886 2 2841 1655,"星期一: 11:30 – 15:00, 17:30 – 21:30",星期二: 休息,"星期三: 11:30 – 15:00, 17:30 – 21:30","星期四: 11:30 – 15:00, 17:30 – 21:30","星期五: 11:30 – 15:00, 17:30 – 21:30","星期六: 11:30 – 15:00, 17:30 – 21:30","星期日: 11:30 – 15:00, 17:30 – 21:30",,https://maps.google.com/?cid=7592559705712025075,3,
聽雨軒 LIVINGFOREST 潼日式料理,111台灣台北市士林區至善路三段342-350號,4.1,526,25.1250543,121.5879067,+886 2 2841 3095,星期一: 11:30 – 21:00,星期二: 11:30 – 21:00,星期三: 11:30 – 21:00,星期四: 11:30 – 21:00,星期五: 11:30 – 21:00,星期六: 11:30 – 21:00,星期日: 11:30 – 21:00,TRUE,https://maps.google.com/?cid=17483734629535064457,2,
HoHoGarden,111台灣台北市士林區平菁街145號,4.3,28,25.1221027,121.5742187,+886 2 2861 7826,星期一: 休息,星期二: 休息,星期三: 休息,星期四: 休息,星期五: 休息,星期六: 11:00 – 18:00,星期日: 11:00 – 18:00,,https://maps.google.com/?cid=4114572641621702176,,
藍海藝園,111台灣台北市士林區萬溪產業道路145號,4.7,97,25.1223756,121.5909287,+886 2 2841 4969,星期一: 休息,星期二: 休息,星期三: 休息,星期四: 休息,星期五: 休息,星期六: 10:30 – 18:00,星期日: 10:30 – 18:00,,https://maps.google.com/?cid=9222790530628129333,2,
北雙寶牛肉麵,111台灣台北市士林區至善路三段228號,4.8,54,25.1197674,121.5814738,+886 935 756 378,星期一: 休息,星期二: 休息,星期三: 休息,星期四: 休息,星期五: 11:30 – 15:00,星期六: 11:30 – 15:00,星期日: 11:30 – 15:00,,https://maps.google.com/?cid=8294583213819597043,,
台北市士林區至善釣蝦場,111台灣台北市士林區至善路三段13號,4.1,2085,25.1120054,121.5621332,+886 2 2841 3225,星期一: 24 小時營業,星期二: 24 小時營業,星期三: 24 小時營業,星期四: 24 小時營業,星期五: 24 小時營業,星期六: 24 小時營業,星期日: 24 小時營業,,https://maps.google.com/?cid=11396165059671396682,,
閒暇釣蝦場,111台灣台北市士林區至善路三段41號,3.8,192,25.1128947,121.5643081,+886 2 2841 4300,星期一: 12:00 – 00:00,星期二: 14:00 – 02:00,星期三: 16:00 – 04:00,星期四: 12:00 – 05:00,星期五: 12:00 – 05:00,星期六: 12:00 – 05:00,星期日: 12:00 – 05:00,,https://maps.google.com/?cid=10418853828989845500,2,
水牛城美式餐廳BFLO,10465台灣台北市中山區北安路538巷1弄9號,4.2,894,25.0799505,121.5482273,+886 2 2532 9833,星期一: 11:30 – 20:00,星期二: 11:30 – 20:00,星期三: 11:30 – 20:00,星期四: 11:30 – 20:00,星期五: 11:30 – 20:00,星期六: 11:30 – 20:00,星期日: 11:30 – 20:00,,https://maps.google.com/?cid=13544736788068184660,2,
青蛙石炒麵攤,111台灣台北市士林區至善路三段150巷,4.9,18,25.1055305,121.5789557,+886 928 242 450,星期一: 休息,星期二: 休息,星期三: 休息,星期四: 休息,星期五: 休息,星期六: 08:30 – 16:50,星期日: 08:30 – 16:50,,https://maps.google.com/?cid=11265495014459177896,,
穠舍田園咖啡 餐廳 休閒農場,114台灣台北市內湖區碧山路38號,4.4,1319,25.100437,121.588312,+886 2 2793 5448,星期一: 11:00 – 18:30,星期二: 11:00 – 18:30,星期三: 11:00 – 18:30,星期四: 11:00 – 18:30,星期五: 11:00 – 18:30,星期六: 11:00 – 18:30,星期日: 11:00 – 18:30,TRUE,https://maps.google.com/?cid=3112481734425550641,2,
Triple Cafe,114台灣台北市內湖區成功路五段118號,4.1,2348,25.0832177,121.6041202,+886 2 8791 7620,星期一: 11:00 – 21:30,星期二: 11:00 – 21:30,星期三: 11:00 – 21:30,星期四: 11:00 – 21:30,星期五: 11:00 – 21:30,星期六: 11:00 – 21:30,星期日: 11:00 – 21:30,,https://maps.google.com/?cid=7208659842641892905,2,
GREEN BUNNY restaurant,114台灣台北市內湖區江南街96巷12號,4.2,184,25.0772862,121.5762918,+886 2 2797 1838,"星期一: 11:30 – 14:30, 17:00 – 21:00","星期二: 11:30 – 14:30, 17:00 – 21:00","星期三: 11:30 – 14:30, 17:00 – 21:00","星期四: 11:30 – 14:30, 17:00 – 21:00","星期五: 11:30 – 14:30, 17:00 – 21:00",星期六: 休息,"星期日: 11:30 – 14:30, 17:00 – 21:00",,https://maps.google.com/?cid=5813929455517411615,,
莓圃休閒農園 餐廳,114台灣台北市內湖區碧山路38-2號,4.3,896,25.102343,121.588527,+886 2 2795 1108,星期一: 休息,星期二: 12:00 – 18:00,星期三: 12:00 – 18:00,星期四: 12:00 – 18:00,星期五: 12:00 – 18:00,星期六: 11:00 – 18:00,星期日: 11:00 – 18:00,TRUE,https://maps.google.com/?cid=1702347413982292745,2,
九福堡早餐店,114台灣台北市內湖區內湖路三段59巷9號,4.2,100,25.085805,121.5918271,+886 2 2790 0805,星期一: 05:30 – 13:30,星期二: 05:30 – 13:30,星期三: 05:30 – 13:30,星期四: 05:30 – 13:30,星期五: 休息,星期六: 05:30 – 14:00,星期日: 05:30 – 14:00,,https://maps.google.com/?cid=11380836768377162453,1,
小周紅燒牛肉麵,114台灣台北市內湖區文德路22巷48號1樓,4.7,132,25.0766259,121.5802703,+886 2 2627 5286,"星期一: 11:30 – 14:00, 17:30 – 20:00","星期二: 11:30 – 14:00, 17:30 – 20:00","星期三: 11:30 – 14:00, 17:30 – 20:00","星期四: 11:30 – 14:00, 17:30 – 20:00","星期五: 11:30 – 14:00, 17:30 – 20:00","星期六: 11:30 – 14:00, 17:30 – 20:00",星期日: 休息,,https://maps.google.com/?cid=10036482567165911782,1,
蔬活餐廳,"號 3 樓 No, No. 32環山路一段內湖區台北市台灣 114",5,1,25.0855908,121.5649175,+886 2 2659 6122,星期一: 09:00 – 17:00,星期二: 09:00 – 17:00,星期三: 09:00 – 17:00,星期四: 09:00 – 17:00,星期五: 09:00 – 17:00,星期六: 休息,星期日: 休息,,https://maps.google.com/?cid=1946910769037107603,,
好品香早餐店,114台灣台北市內湖區江南街71巷16弄43號,4.8,49,25.0756839,121.5769947,+886 2 2659 0805,星期一: 06:00 – 11:00,星期二: 06:00 – 11:00,星期三: 06:00 – 11:00,星期四: 06:00 – 11:00,星期五: 06:00 – 11:00,星期六: 休息,星期日: 06:00 – 11:00,,https://maps.google.com/?cid=3266766338541657345,,
美美早餐店,114台灣台北市內湖區內湖路二段263巷4號,4.5,34,25.0825737,121.5900641,+886 2 2793 3584,星期一: 06:00 – 12:30,星期二: 06:00 – 12:30,星期三: 06:00 – 12:30,星期四: 06:00 – 12:30,星期五: 06:00 – 12:30,星期六: 06:00 – 12:30,星期日: 休息,FALSE,https://maps.google.com/?cid=1328524854386915059,,
味亦美早餐店,114台灣台北市內湖區內湖路一段285巷65弄7號,4.4,30,25.0844563,121.5673146,+886 2 2799 5190,星期一: 05:30 – 13:00,星期二: 05:30 – 13:00,星期三: 05:30 – 13:00,星期四: 05:30 – 13:00,星期五: 05:30 – 13:00,星期六: 05:30 – 13:00,星期日: 05:30 – 13:00,,https://maps.google.com/?cid=11383670772678972931,1,
蓁蓁早餐店,114台灣台北市內湖區麗山街395號,4.2,231,25.081608,121.5726076,+886 2 2799 6186,星期一: 06:00 – 13:00,星期二: 06:00 – 13:00,星期三: 06:00 – 13:00,星期四: 06:00 – 13:00,星期五: 06:00 – 13:00,星期六: 06:00 – 12:00,星期日: 06:00 – 12:00,,https://maps.google.com/?cid=15481829901099392649,1,
隧道音樂主題餐廳,114台灣台北市內湖區金龍路180號,4.2,117,25.0866088,121.588285,+886 2 2795 6090,星期一: 21:00 – 04:00,星期二: 21:00 – 04:00,星期三: 21:00 – 04:00,星期四: 21:00 – 04:00,星期五: 21:00 – 04:00,星期六: 21:00 – 04:00,星期日: 21:00 – 04:00,,https://maps.google.com/?cid=16322890832248967295,2,
梨渦,114台灣台北市內湖區內湖路二段403號之1號,4.8,107,25.0843871,121.5931769,+886 2 8791 8275,星期一: 19:00 – 02:00,星期二: 19:00 – 02:00,星期三: 19:00 – 02:00,星期四: 19:00 – 02:00,星期五: 19:00 – 02:00,星期六: 19:00 – 02:00,星期日: 19:00 – 02:00,,https://maps.google.com/?cid=1761999373230550731,,
今日餐坊,114台灣台北市內湖區成功路四段343號,4.8,242,25.0844703,121.5995588,+886 2 2793 9109,"星期一: 11:00 – 14:00, 17:00 – 20:00","星期二: 11:00 – 14:00, 17:00 – 20:00","星期三: 11:00 – 14:00, 17:00 – 20:00","星期四: 11:00 – 14:00, 17:00 – 20:00","星期五: 11:00 – 14:00, 17:00 – 20:00","星期六: 10:30 – 14:00, 17:00 – 20:00",星期日: 休息,,https://maps.google.com/?cid=3972208827464476112,,
FACILE 法斯樂,114台灣台北市內湖區大湖山莊街209號,4.5,290,25.0883799,121.6002386,+886 983 853 916,"星期一: 11:30 – 14:30, 18:00 – 21:30","星期二: 11:30 – 14:30, 18:00 – 21:30","星期三: 11:30 – 14:30, 18:00 – 21:30","星期四: 11:30 – 14:30, 18:00 – 21:30","星期五: 11:30 – 14:30, 18:00 – 21:30","星期六: 11:30 – 14:30, 18:00 – 21:30","星期日: 11:30 – 14:30, 18:00 – 21:30",,https://maps.google.com/?cid=160290552955435087,,
285小老闆,114台灣台北市內湖區內湖路一段285巷68弄7號,4.3,313,25.0856122,121.5669764,+886 921 804 333,"星期一: 11:30 – 13:30, 17:00 – 20:00","星期二: 11:30 – 13:30, 17:00 – 20:00","星期三: 11:30 – 13:30, 17:00 – 20:00","星期四: 11:30 – 13:30, 17:00 – 20:00","星期五: 11:30 – 13:30, 17:00 – 20:00",星期六: 休息,星期日: 休息,,https://maps.google.com/?cid=11427657124492432678,1,
辛藍印度料理 Indigo Indian Cuisine,114台灣台北市內湖區文湖街60巷2號,4.6,234,25.0863899,121.5641759,+886 2 2657 2213,"星期一: 11:00 – 14:30, 17:00 – 20:30",星期二: 休息,"星期三: 11:00 – 14:30, 17:00 – 20:30","星期四: 11:00 – 14:30, 17:00 – 20:30","星期五: 11:00 – 14:30, 17:00 – 20:30","星期六: 11:00 – 14:30, 17:00 – 20:30","星期日: 11:00 – 14:30, 17:00 – 20:30",TRUE,https://maps.google.com/?cid=4681348868306847023,,
醉燈食居,114台灣台北市內湖區內湖路一段285巷69弄3號,4.3,311,25.0849271,121.5670556,+886 2 8751 1765,星期一: 18:00 – 00:00,星期二: 18:00 – 00:00,星期三: 18:00 – 00:00,星期四: 18:00 – 00:00,星期五: 18:00 – 00:00,星期六: 18:00 – 00:00,星期日: 休息,,https://maps.google.com/?cid=2173354338782425126,,
雞吉君拉麵,114台灣台北市內湖區環山路一段33號,4.2,3007,25.0862284,121.5670347,+886 2 8797 8978,星期一: 休息,星期二: 休息,"星期三: 11:30 – 14:00, 17:30 – 20:30","星期四: 11:30 – 14:00, 17:30 – 20:30","星期五: 11:30 – 14:00, 17:30 – 20:30","星期六: 11:30 – 14:00, 17:30 – 20:30","星期日: 11:30 – 14:00, 17:30 – 20:30",FALSE,https://maps.google.com/?cid=2488152898116312603,2,
轉角吃早午餐,114台灣台北市內湖區內湖路三段59巷19號1樓,4.2,161,25.0854109,121.5916473,+886 2 8791 4728,星期一: 06:30 – 13:30,星期二: 休息,星期三: 06:30 – 13:30,星期四: 06:30 – 13:30,星期五: 06:30 – 13:30,星期六: 07:00 – 13:30,星期日: 07:00 – 13:30,,https://maps.google.com/?cid=1291721745369298203,,
好鄰居早餐店,114台灣台北市內湖區大湖山莊街119號,3.8,111,25.086176,121.601859,+886 2 2796 0372,星期一: 05:45 – 11:00,星期二: 05:45 – 11:00,星期三: 05:45 – 11:00,星期四: 05:45 – 11:00,星期五: 05:45 – 11:00,星期六: 06:00 – 12:30,星期日: 06:00 – 12:30,,https://maps.google.com/?cid=11896310429209145346,1,
金鍋盃小火鍋,11452台灣台北市內湖區環山路二段37號,4.7,2709,25.085455,121.5731223,+886 2 8797 3827,星期一: 11:30 – 00:00,星期二: 11:30 – 00:00,星期三: 11:30 – 00:00,星期四: 11:30 – 00:00,星期五: 11:30 – 00:00,星期六: 11:30 – 00:00,星期日: 11:30 – 00:00,TRUE,https://maps.google.com/?cid=6928058224933985333,3,
蓮緣素食餐坊,114台灣台北市內湖區成功路四段296號,4.2,315,25.0848148,121.5978022,+886 2 2796 6532,"星期一: 10:30 – 14:00, 16:30 – 20:00",星期二: 休息,"星期三: 10:30 – 14:00, 16:30 – 20:00","星期四: 10:30 – 14:00, 16:30 – 20:00","星期五: 10:30 – 14:00, 16:30 – 20:00","星期六: 10:30 – 14:00, 16:30 – 20:00","星期日: 10:30 – 14:00, 16:30 – 20:00",TRUE,https://maps.google.com/?cid=1744333218168324039,1,
酌屋,114台灣台北市內湖區金湖路51號,4.3,451,25.0821256,121.5967168,+886 988 023 147,星期一: 18:30 – 01:00,星期二: 休息,星期三: 18:30 – 01:00,星期四: 18:30 – 01:00,星期五: 18:30 – 01:00,星期六: 18:30 – 01:00,星期日: 18:30 – 01:00,,https://maps.google.com/?cid=1531437655276340424,2,
澄食小人屋2《金龍店》內湖美食/內湖餐廳/內湖日本料理/內湖生魚片/內湖日本料理/內湖壽司,114台灣台北市內湖區成功路四段208號,4.2,329,25.0844745,121.595694,+886 2 8792 0069,星期一: 休息,"星期二: 11:30 – 14:00, 17:30 – 21:00","星期三: 11:30 – 14:00, 17:30 – 21:00","星期四: 11:30 – 14:00, 17:30 – 21:00","星期五: 11:30 – 14:00, 17:30 – 21:00","星期六: 11:30 – 14:00, 17:30 – 21:00","星期日: 11:30 – 14:00, 17:30 – 21:00",,https://maps.google.com/?cid=1742013660267417654,2,
