,Name,Address,Rating,Rating_str,User Ratings Total,Latitude,Longitude,distance(km),distance_group,Phone,price,rating_trip,type,user_number_trip,users,rating_score,popularity,distance_score
1042,喜多多迷你小火鍋,110台灣台北市信義區松隆路213號,4.5,4.5,285,25.0485194,121.5763891,6.770995748,2,+886 2 2763 7272,,0,火鍋,0,285,90,51,80
1043,夫妻肺片麻辣火鍋,10491台灣台北市中山區長安東路二段168號,4.1,4.1,754,25.0481707,121.5398781,7.677478782,2,+886 2 2775 5201,$300-750,0,火鍋,0,754,82,75,80
1044,東華川府重慶老火鍋 台北忠孝店（蜀山客棧概念店）,106台灣台北市大安區仁愛路四段345巷4弄31號,4.5,4.5,139,25.0390987,121.552106,6.229191446,1,+886 2 2778 6860,,0,火鍋,0,139,90,33,80
1045,民治小火鍋,105台灣台北市松山區三民路101巷2號,3.9,3.9,684,25.0575034,121.5633643,7.881974532,2,+886 2 2756 2174,$300-750,3.5,火鍋,2,686,77,72,80
1046,儒奕日本飛驒和牛專賣所,"No. 31號, 敦化南路二段81巷大安區台北市台灣 106",4.6,4.6,49,25.0300915,121.550066,5.42169887,1,+886 2 2706 8088,,4,火鍋,10,59,89,17,90
1047,馬辣頂級麻辣鴛鴦火鍋 台北公館店,100台灣台北市中正區汀州路三段86號,4.2,4.2,5522,25.0146017,121.532653,5.341079196,1,+886 2 2365 7625,$300-750,4,火鍋,160,5682,83,99,90
1048,橘色涮涮屋二館,106台灣台北市大安區仁愛路四段29-2號,4.4,4.4,1794,25.0385352,121.5452602,6.47745871,1,+886 2 2771 0181,$1350~,4.5,火鍋,28,1822,88,91,80
1049,二本松涮涮屋 本館,106台灣台北市大安區瑞安街118號,4.8,4.8,2555,25.0296552,121.5425364,5.792915765,1,+886 2 2708 6835,,5,火鍋,3,2558,96,95,90
1050,聚日式鍋物 台北南昌店,100台灣台北市中正区南昌路二段216號2F,4.7,4.7,4902,25.0239177,121.5243818,6.623784013,2,+886 2 2368 3118,$300-750,4.5,火鍋,14,4916,93,98,80
1051,詹記麻辣火鍋 敦南店,106台灣台北市大安區和平東路三段60號,4.4,4.4,5370,25.0243099,121.5490842,4.926883973,1,+886 2 2377 7799,$300-750,4.5,火鍋,35,5405,88,99,90
1052,辣二爺- 正宗麻辣鍋 四川火鍋鍋物 人氣特色火鍋 推薦鍋物 四川麻辣鍋 串串香 麻辣涮串 推薦 熱門 打卡 必吃 人氣,106台灣台北市大安區忠孝東路四段216巷19弄6號,4.2,4.2,506,25.04021,121.5533692,6.294667917,1,+886 2 8773 5567,$300-750,0,火鍋,0,506,84,65,80
1053,穗川小農鍋物,106台灣台北市大安區信義路三段89號,4.4,4.4,717,25.0337273,121.5383735,6.406441061,1,+886 2 2704 2598,$300-750,0,火鍋,0,717,88,73,80
1054,丰明殿御皇鍋物-信義殿,110台灣台北市信義區信義路四段393號,4.7,4.7,5075,25.033316,121.5585386,5.393405287,1,+886 2 2345 0299,$300-750,0,火鍋,0,5075,94,98,90
1055,草原風蒙古火鍋 永康店,106台灣台北市大安區永康街37巷18號,4.9,4.9,4009,25.0306764,121.5302474,6.68157512,2,+886 2 2358 3319,$300-750,0,火鍋,0,4009,98,97,80
1056,東豐東鍋物,106092台灣台北市大安區東豐街37號,4.9,4.9,413,25.0362052,121.5464321,6.193696489,1,+886 2 2706 0857,,0,火鍋,0,413,98,60,80
1057,辛殿麻辣鍋 公館店,100台灣台北市中正區羅斯福路三段316巷9弄1號,4.2,4.2,2748,25.0155617,121.5318555,5.467682004,1,+886 2 7733 7667,$300-750,0,火鍋,0,2748,84,95,90
1058,天辣麻辣火鍋(復興南),106台灣台北市大安區復興南路二段84號,4.2,4.2,950,25.0308618,121.5432611,5.859622308,1,+886 2 2707 4527,$300-750,0,火鍋,0,950,84,79,90
1059,饕鍋,106台灣台北市大安區復興南路一段269號2 樓,4.2,4.2,414,25.0359023,121.5438727,6.295140278,1,+886 2 2754 2388,$300-750,4,火鍋,40,454,83,63,80
1060,圍爐酸菜白肉火鍋,106台灣台北市大安區仁愛路四段345巷4弄36號,4,4,1558,25.0388343,121.5516628,6.22002922,1,+886 2 2752 9439,$300-750,4.5,火鍋,82,1640,80,89,80
1061,涮樂和牛鍋物 食べ放題 第一品牌-公館店,100台灣台北市中正區汀州路三段92號,4.7,4.7,8872,25.014547,121.532785,5.326658138,1,+886 2 2362 0330,$300-750,4.5,火鍋,3,8875,93,99,90
1062,溏老鴨平價小火鍋,106台灣台北市大安區新生南路三段70巷3號,4.4,4.4,1942,25.019571,121.5333658,5.613979622,1,+886 2 2362 6016,$1-300,0,火鍋,0,1942,88,92,90
1063,碼頭老火鍋,106台灣台北市大安區仁愛路四段409-1號,4.6,4.6,1290,25.0382823,121.5559131,6.002725985,1,+886 2 2775 2115,$300-750,3.5,火鍋,2,1292,91,85,80
1064,洞天 粵式煲湯獨享鍋/大安區火鍋/美食推薦/餐廳,106046台灣台北市大安區敦化南路二段81巷35號,4.5,4.5,225,25.0303767,121.5501156,5.446897164,1,+886 2 2701 7285,$300-750,0,火鍋,0,225,90,44,90
1065,涮辛酸麻辣火鍋吃到飽,106台灣台北市大安區敦化南路二段170號,4.5,4.5,2092,25.0241005,121.5483086,4.952055159,1,+886 2 7755 7515,$750-1350,0,火鍋,0,2092,90,93,90
1066,海底撈火鍋 信義店,110台灣台北市信義區松壽路12號6樓,4.5,4.5,4065,25.03531,121.5660665,5.405506592,1,+886 2 7743 1899,$750-1350,0,火鍋,0,4065,90,97,90
1067,元香沙茶火鍋店,106台灣台北市大安區信義路三段35號,3.2,3.2,483,25.0338171,121.5347467,6.63981288,2,+886 2 2754 2882,$750-1350,3,火鍋,3,486,63,64,80
1068,肉多多火鍋-古亭旗艦店,106台灣台北市大安區羅斯福路二段79號3樓,4.1,4.1,2581,25.0261552,121.5234068,6.85461328,2,+886 2 2363 2323,$300-750,3,火鍋,1,2582,81,95,80
1069,火鍋106-粵式豬肚雞煲鍋光復店,106台灣台北市大安區光復南路240巷5號,4.4,4.4,1076,25.0405776,121.557057,6.20547491,1,+886 2 2721 6008,$300-750,5,火鍋,1,1077,88,82,80
1070,黑武士特色老火鍋 東豐店,106台灣台北市大安區東豐街65號,4.1,4.1,411,25.03613,121.5476037,6.129438645,1,+886 2 2706 9350,$750-1350,0,火鍋,0,411,82,60,80
1071,辣·得記麻辣火鍋-安居總店,106台灣台北市大安區安居街28號,4.7,4.7,1800,25.0208117,121.5546468,4.297506278,1,+886 2 2739 3559,$1-300,4,火鍋,1,1801,93,91,90
1072,元鍋精緻火鍋私房菜,110台灣台北市信義區莊敬路178巷12號,4.2,4.2,396,25.031318,121.560713,5.112280305,1,+886 2 2723 2111,$300-750,4.5,火鍋,4,400,84,59,90
1073,臨沂殿小火鍋,100台灣台北市中正區臨沂街27巷9-1號,4.3,4.3,134,25.0410697,121.5314442,7.478760825,2,+886 2 2322 2929,$300-750,0,火鍋,0,134,86,32,80
1074,十二籃 粥火鍋 逸仙店,110台灣台北市信義區逸仙路50巷28號,4.3,4.3,1231,25.0404906,121.5630033,6.033625283,1,+886 2 2345 5330,$750-1350,4.5,火鍋,12,1243,86,85,80
1075,澳門贏到足/卜卜蜆/火鍋/港式/鴛鴦奶茶/絲襪奶茶忠孝敦化店,106台灣台北市大安區敦化南路一段233巷11號1樓,4.9,4.9,398,25.0405016,121.5499552,6.459522087,1,+886 2 2711 0117,,0,火鍋,0,398,98,59,80
1076,親勝小火鍋,106台灣台北市大安區樂業街55號,4.2,4.2,483,25.0222596,121.5505252,4.656709074,1,+886 2 2732 2008,$300-750,3,火鍋,1,484,83,64,90
1077,九四小火鍋,106台灣台北市大安區信義路四段60-124號號,4.8,4.8,136,25.032644,121.545489,5.901352389,1,+886 2 2325 2555,,0,火鍋,0,136,96,32,90
1078,藍玲四川麻辣火鍋,106台灣台北市大安區通安街62號,3.9,3.9,111,25.0308333,121.5531921,5.348008289,1,+886 2 2709 9978,,0,火鍋,0,111,78,28,90
1079,極速小火鍋,116台灣台北市文山區木新路二段256號,4.3,4.3,101,24.9832242,121.5661935,1.148849365,1,+886 2 2939 0959,,0,火鍋,0,101,86,26,100
1080,肉多多火鍋-台北景美店,116台灣台北市文山区景文街42號2樓,4.4,4.4,2024,24.9917264,121.5411941,3.587959639,1,+886 2 2933 2212,$300-750,4,火鍋,10,2034,87,92,90
1081,小尚品精制鍋物-木柵店,116台灣台北市文山區木柵路一段325-3號,4.8,4.8,1807,24.9885835,121.556379,2.031278742,1,+886 2 8661 8599,$300-750,0,火鍋,0,1807,96,91,100
1082,老味道鍋物,116台灣台北市文山區指南路二段17號,4.5,4.5,105,24.9883096,121.5735047,0.311840107,1,+886 2 2937 6848,$300-750,0,火鍋,0,105,90,27,100
1083,肉多多火鍋-永和民權店,234台灣新北市永和區民權路108號,4.4,4.4,1533,24.996585,121.5196543,5.815610424,1,+886 2 2231 8800,$300-750,0,火鍋,0,1533,88,88,90
1084,飛驒涮涮鍋,116台灣台北市文山區興隆路四段59號,4.6,4.6,951,24.9895014,121.5599525,1.681297843,1,+886 2 8661 4999,$300-750,0,火鍋,0,951,92,80,100
1085,945鍋,11648台灣台北市文山區木柵路三段9號,4.4,4.4,379,24.9885323,121.5648404,1.17999999,1,+886 2 2939 8945,$300-750,0,火鍋,0,379,88,58,100
1086,石二鍋 台北興隆店,116台灣台北市文山區興隆路四段149號1 樓,3.9,3.9,1505,24.9848357,121.5617507,1.519149767,1,+886 2 2234 2838,$300-750,4.5,火鍋,13,1518,78,88,100
1087,涮了吧,116台灣台北市文山區興隆路三段112巷2弄24號,4.6,4.6,157,24.9995117,121.5565272,2.408442246,1,+886 2 2930 0002,$300-750,0,火鍋,0,157,92,36,100
1088,辣椒多一點 - 麻辣鍋物｜養生鍋,116台灣台北市文山區興隆路二段245號,4.9,4.9,1334,25.0019909,121.5514581,2.987199352,1,+886 2 2933 3245,,0,火鍋,0,1334,98,86,100
1089,涮嘴 興隆店,116台灣台北市文山區興隆路二段325號,4,4,311,25.0012081,121.5539595,2.728320477,1,+886 2 8663 6068,$1-300,0,火鍋,0,311,80,53,100
1090,石鼎先精緻石頭火鍋,116台灣台北市文山區興隆路二段220巷14號,4.2,4.2,221,25.0007942,121.552242,2.850163276,1,+886 2 8663 3369,$300-750,0,火鍋,0,221,84,44,100
1091,緣份小火鍋,116台灣台北市文山區木新路三段317號,3.9,3.9,16,24.980573,121.5567623,2.138911234,1,+886 2 8661 5088,,0,火鍋,0,16,78,5,100
1092,大紅袍麻辣鴛鴦小火鍋,231台灣新北市新店區寶強路2-1號,4.3,4.3,418,24.977891,121.5438445,3.465368418,1,+886 2 2914 1239,$300-750,0,火鍋,0,418,86,61,90
1093,小尚品精制鍋物 福興店,116台灣台北市文山區福興路49號,4.9,4.9,2501,25.0031709,121.55052,3.137819331,1,+886 2 2934 0808,$300-750,0,火鍋,0,2501,98,94,90
1094,火鍋世家景華店,116台灣台北市文山區景華街98號,3.9,3.9,443,24.9952385,121.5459589,3.192848018,1,+886 2 2931 1575,$300-750,0,火鍋,0,443,78,62,90
1095,陶然日式小火鍋,231台灣新北市新店區北新路二段97巷10弄2號,4.2,4.2,964,24.9744264,121.5422474,3.751980733,1,+886 2 2912 3007,$300-750,0,火鍋,0,964,84,80,90
1096,哈湯鍋｜新店大坪林火鍋/時蔬/鍋料無限供應299︱平價火鍋︱高CP值 吃到飽 推薦,231台灣新北市新店區北新路三段76號,4.4,4.4,478,24.98058,121.5420795,3.557168455,1,+886 2 8914 6456,$300-750,0,火鍋,0,478,88,64,90
1097,石水產火鍋,116台灣台北市文山區景中街37號,4.8,4.8,2228,24.9928448,121.5437094,3.355902898,1,+886 2 2933 3838,$300-750,0,火鍋,0,2228,96,93,90
1098,台北小火鍋 偵軒精緻鍋物-萬隆店,116台灣台北市文山區羅斯福路六段28號,4,4,986,24.9997821,121.5396542,3.952266429,1,+886 2 8931 0296,$300-750,0,火鍋,0,986,80,80,90
1099,鮮牧火鍋,231台灣新北市新店区民权路60號2樓,4.4,4.4,875,24.9830825,121.5386752,3.846214025,1,+886 2 2916 1111,$300-750,0,火鍋,0,875,88,78,90
1101,真 火鍋,115台灣台北市南港區忠孝東路五段799號,4.1,4.1,160,25.0445292,121.5819606,6.351126028,1,+886 2 2789 1550,,0,火鍋,0,160,82,36,80
1102,火鍋哥涮涮屋,116台灣台北市文山區羅斯福路五段218巷1號,4.5,4.5,1152,25.002075,121.538595,4.144717218,1,+886 2 2933 0369,$300-750,0,火鍋,0,1152,90,84,90
1103,石水產火鍋 北醫店,110台灣台北市信義區莊敬路447號,4.7,4.7,1512,25.027109,121.567311,4.486962735,1,+886 2 2758 0529,$300-750,0,火鍋,0,1512,94,88,90
1104,饗宴精緻石頭火鍋,231台灣新北市新店區北新路二段2號,4,4,898,24.9708624,121.5427671,3.878029083,1,+886 2 2915 0777,$300-750,0,火鍋,0,898,80,79,90
1105,小川鍋物 新光三越信義A4店｜小農蔬菜火鍋｜信義區美食 信義區火鍋 信義區鍋物 市政府美食 市政府火鍋 市政府鍋物 小農鍋物,110台灣台北市信義區松高路19號Ｂ２,4.1,4.1,240,25.0396922,121.5664837,5.876860806,1,+886 2 2723 7708,,5,火鍋,1,241,82,46,90
1106,馬辣頂級麻辣鴛鴦火鍋 信義店,110台灣台北市信義區松壽路22號3樓,4.5,4.5,5259,25.0354574,121.5678596,5.389442357,1,+886 2 2720 5726,$300-750,4.5,火鍋,127,5386,90,99,90
1107,築間幸福鍋物 西門町店,108台灣台北市萬華區昆明街92-1號2樓,4.7,4.7,2132,25.0450004,121.5052356,9.605889923,3,+886 2 2331 0003,$300-750,0,火鍋,0,2132,94,93,70
1108,隆昌28串串火鍋,108台灣台北市萬華區隆昌街28號,4.8,4.8,1689,25.0412,121.505229,9.331180022,3,+886 2 2361 1889,$1-300,0,火鍋,0,1689,96,90,70
1109,海底撈火鍋 西門店,108412台灣台北市万华区桂林路1號4樓,4.5,4.5,1217,25.037703,121.5061818,9.012260349,2,+886 2 2314 6868,$750-1350,0,火鍋,0,1217,90,84,70
1110,肉多多火鍋-台北西門店,108台灣台北市万华区汉中街42號4樓,4.8,4.8,98,25.0442343,121.5072709,9.396288096,3,+886 2 2331 3932,$300-750,0,火鍋,0,98,96,26,70
1111,樂崎火鍋-萬華店,108台灣台北市萬華區東園街68號,4.8,4.8,5028,25.0258172,121.4964573,9.116103991,3,+886 2 2301 0621,$300-750,5,火鍋,5,5033,96,98,70
1112,瓦法奇朵（W.麻辣BAR）,100台灣台北市中正區信陽街29號,4.4,4.4,4474,25.0447679,121.5156272,8.831827398,2,+886 2 2311 0215,$300-750,4,火鍋,131,4605,87,98,80
1113,香草工坊 台北寶慶店,100台灣台北市中正區寶慶路32號,3.9,3.9,35,25.0414461,121.5090757,9.054282752,2,+886 2 2331 3728,,0,火鍋,0,35,78,10,70
1114,小樂沙茶火鍋,108台灣台北市萬華區西寧南路90巷3號,4.3,4.3,303,25.0421787,121.5057039,9.364499291,3,+886 2 2331 6467,$300-750,0,火鍋,0,303,86,52,70
1115,養鍋 台北中正店,100台灣台北市中正區寧波西街81號,4.7,4.7,3280,25.0303386,121.5167232,7.671245357,2,+886 2 2396 9909,$300-750,0,火鍋,0,3280,94,96,80
1116,火鍋世家(永和中山店),234台灣新北市永和區中山路一段110號,3.9,3.9,351,25.0104399,121.5108302,7.088091913,2,+886 2 8921 3123,$300-750,0,火鍋,0,351,77,56,80
1117,雙園小火鍋,108台灣台北市萬華區雙園街44號,3.8,3.8,252,25.0297942,121.4941791,9.529380421,3,+886 2 2302 0910,$1-300,0,火鍋,0,252,76,47,70
1118,享火鍋 | 全預約制 Line：@623ndmjz | 每週一、二固定店休 | 疫情期間，入內前請先稍候，將會先為您量額溫與手部噴酒精^^ | 因環境與空間因素，身體不適、兒童與寵物請止步 | 沒有提供洗手間,108台灣台北市萬華區桂林路242巷4-3號號1F228巷13弄內,4.9,4.9,84,25.0381744,121.4954632,9.913681218,3,+886 2 2308 1013,,0,火鍋,0,84,98,23,70
1119,肉多多火鍋 台北重慶南店,100台灣台北市中正區重慶南路一段58號3樓,4.5,4.5,638,25.0439424,121.5130088,8.952652323,2,+886 2 2361 3539,$300-750,5,火鍋,2,640,90,71,80
1120,東家食堂,100台灣台北市中正區西藏路8號,4.1,4.1,246,25.0306673,121.5077355,8.421923777,2,+886 2 2304 0117,$300-750,0,火鍋,0,246,82,47,80
1121,四川華神麻辣火鍋,10843台灣台北市萬華區康定路25巷25號之1號,4.3,4.3,156,25.0438656,121.5037731,9.634200907,3,+886 2 2331 5189,$300-750,0,火鍋,0,156,86,36,70
1122,砸鍋賣鐵小火鍋-廣州店,108台灣台北市萬華區廣州街166號,4.9,4.9,72,25.0366388,121.4990012,9.52343637,3,+886 2 2388 8307,,0,火鍋,0,72,98,20,70
1123,清香廣東汕頭沙茶火鍋,108台灣台北市萬華區西寧南路82巷5號,3.9,3.9,834,25.04241,121.5056304,9.386808174,3,+886 2 2331 9561,$300-750,4.5,火鍋,9,843,78,77,70
1124,一鍋瘋精緻小火鍋,220台灣新北市板橋區民治街116號,4.8,4.8,668,25.0311144,121.4781418,11.02868459,3,+886 2 8969 6160,,0,火鍋,0,668,96,72,70
1125,章章鍋-板橋火鍋 板橋鍋物 板橋必吃 江子翠美食 江子翠火鍋 江子翠鍋物,220台灣新北市板橋區三民路一段149號1樓,4.8,4.8,141,25.0196728,121.4794115,10.41321769,3,+886 2 2964 9572,,0,火鍋,0,141,96,33,70
1126,魏大爺火鍋店,108台灣台北市萬華區大理街42巷5號1樓,4.7,4.7,220,25.0341859,121.5003485,9.257230548,3,+886 2 2336 6955,,0,火鍋,0,220,94,44,70
1127,麒麟閣沙茶火鍋,234台灣新北市永和區永和路二段57號2樓,4.2,4.2,2492,25.011065,121.514606,6.760631614,2,+886 2 2924 9259,$300-750,0,火鍋,0,2492,84,94,80
1128,心心麻辣鍋西門店,108台灣台北市萬華區成都路141號,4.9,4.9,6002,25.0435258,121.5031485,9.657810871,3,+886 2 2388 9299,$300-750,0,火鍋,0,6002,98,99,70
1129,熱滾滾石頭火鍋,108019台灣台北市萬華區和平西路三段172號,4.9,4.9,977,25.0351347,121.4980023,9.512305328,3,+886 2 2302 1022,,0,火鍋,0,977,98,80,70
1130,皇家帝國麻辣火鍋吃到飽,108台灣台北市萬華區中華路一段192號,4.9,4.9,52831,25.038778,121.5069082,9.029610464,2,+886 2 2314 9969,$750-1350,4.5,火鍋,23,52854,97,100,70
1131,石煮精緻石頭火鍋,22070台灣新北市板橋區三民路一段28號,4.6,4.6,2455,25.0229378,121.4790742,10.57440604,3,+886 2 2958 9597,$300-750,0,火鍋,0,2455,92,94,70
1132,海底撈火鍋 板橋店,220台灣新北市板橋區新站路28號5 樓,4.5,4.5,7592,25.0135629,121.4668278,11.42299087,3,+886 2 2964 1328,$750-1350,0,火鍋,0,7592,90,99,70
1133,欣園麻辣鴛鴦火鍋,234台灣新北市永和區保福路二段135號,4,4,221,25.0140798,121.5095831,7.357743555,2,+886 2 2921 8558,$300-750,0,火鍋,0,221,80,44,80
1134,發記麻辣火鍋(西門旗艦店),108台灣台北市萬華區成都路107號,4.6,4.6,513,25.043288,121.504225,9.557905558,3,+886 2 2388 2862,,0,火鍋,0,513,92,66,70
1135,小林麻辣火鍋,220台灣新北市板橋區三民路二段206號,4.2,4.2,1360,25.0121341,121.4786605,10.23016949,3,+886 2 2957 2373,$1-300,0,火鍋,0,1360,84,86,70
1136,曾德自助火鍋城（每週一公休，節日除外）,108台灣台北市萬華區成都路153號,3.8,3.8,1557,25.0435747,121.5030518,9.668767121,3,+886 2 2311 6585,$300-750,3.5,火鍋,11,1568,75,89,70
1137,讚不絕口小火鍋,220台灣新北市板橋區民治街70號,4.3,4.3,248,25.0327281,121.4794437,10.99157197,3,+886 2 2252 8025,$1-300,0,火鍋,0,248,86,47,70
1138,夯麻辣X燒肉火鍋X天外天,108台灣台北市萬華區昆明街76號2樓,4.5,4.5,4610,25.0457947,121.5055397,9.642010069,3,+886 2 2314 0018,$300-750,4,火鍋,70,4680,89,98,70
1139,東南亞風味小火鍋,100台灣台北市中正區汀州路一段93號,4.1,4.1,164,25.0293366,121.5083898,8.284045362,2,+886 2 2301 2206,$1-300,0,火鍋,0,164,82,37,80
1141,Kuoma鍋媽精緻小火鍋（永和竹林店）,234台灣新北市永和區竹林路106號1樓,4,4,431,25.011875,121.5196379,6.333559969,1,+886 2 2926 5671,$1-300,0,火鍋,0,431,80,61,80
1142,武鶴和牛火鍋 (仁化),220台灣新北市板橋區仁化街86號,4.7,4.7,2020,25.0318193,121.4763651,11.22393781,3,+886 2 2258 0580,,0,火鍋,0,2020,94,92,70
1143,巧石辣鴛鴦火鍋店,234台灣新北市永和區保福路二段135號1樓,5,5,1,25.0140798,121.5095831,7.357743555,2,+886 2 2921 5688,,0,火鍋,0,1,100,0,80
1144,永新小火鍋多種口味獨特專賣店,108台灣台北市萬華區寶興街152號,4.2,4.2,51,25.0241986,121.4950018,9.164923708,3,+886 2 2332 0858,,0,火鍋,0,51,84,15,70
1145,弍樓房客 火鍋蒸籠餐酒館,108台灣台北市萬華區西寧南路77號珂曼旅館2樓,4.8,4.8,199,25.0459209,121.5069706,9.545093175,3,+886 2 6604 5377,,0,火鍋,0,199,96,41,70
1146,築間幸福鍋物 台北忠孝一店,110台灣台北市信義區忠孝東路五段695號,4,4,1422,25.0423183,121.5799857,6.091556322,1,+886 2 8785 2222,$300-750,0,火鍋,0,1422,80,87,80
1147,辛殿麻辣鍋｜信義店,110台灣台北市信義區松壽路12號,4,4,3627,25.03531,121.5660665,5.405506592,1,+886 2 2722 7667,$750-1350,4,火鍋,72,3699,80,97,90
1148,品湯。白色麻辣鍋專賣店,106台灣台北市大安區通化街24巷3號,4.2,4.2,946,25.0316524,121.5536102,5.41187893,1,+886 2 2700 8560,$300-750,4,火鍋,21,967,83,80,90
1149,合.shabu ∣ 信義區頂級鍋物,"4F, No. 28號松仁路信義區台北市台灣 110",4.6,4.6,3311,25.0396219,121.567641,5.850223029,1,+886 2 2723 9222,,4.5,火鍋,1953,5264,91,98,90
1150,養心殿精緻鍋物,106台灣台北市大安區市民大道四段110號,4.2,4.2,1152,25.0443978,121.5504654,6.836289992,2,+886 2 2778 1223,$300-750,4.5,火鍋,22,1174,84,84,80
1151,萬客什鍋 八德店,105台灣台北市松山區八德路四段217號,4.6,4.6,2931,25.0490485,121.5642894,6.939855818,2,+886 2 2748 5133,$300-750,0,火鍋,0,2931,92,96,80
1152,頂紅風味小火鍋 松山556,110台灣台北市信義區松山路556號,4.4,4.4,307,25.037489,121.578126,5.546864153,1,+886 2 2727 4465,$1-300,0,火鍋,0,307,88,53,90
1153,石研室 爆炒石頭火鍋 - 微風南山店,110台灣台北市信義區松智路17號 號B2,4.4,4.4,2767,25.0343203,121.5663022,5.292939972,1,+886 958 226 692,$300-750,0,火鍋,0,2767,88,95,90
1154,雞湯大叔 信義店,110台灣台北市信義區松高路11號5樓,4.3,4.3,959,25.0397197,121.5658739,5.890737646,1,+886 2 2722 8382,$300-750,0,火鍋,0,959,86,80,90
1155,黑武士特色老火鍋 信義A9店,110台灣台北市信義區松壽路9號新光三越A9館6樓,4.4,4.4,266,25.0364409,121.5667,5.517116918,1,+886 2 2345 0355,,0,火鍋,0,266,88,49,90
1156,肉老大頂級肉品涮涮鍋 台北敦南店,106台灣台北市大安區敦化南路二段331巷16號,4.8,4.8,3617,25.0226641,121.5498691,4.731166901,1,+886 2 8732 5339,$300-750,5,火鍋,310,3927,96,97,90
1157,王鍋屋ATT4FUN店-火鍋專門店 Shabu Ong｜台灣觀光局推薦特色鍋物 台北信義區 大安區 東區 火鍋推薦 美食餐廳 酸白菜火鍋 青花椒麻辣酸白菜鍋 麻辣鍋 雞湯鍋 酸菜魚片鍋 壽喜燒 昆布鍋 韓式辣白菜鍋 涮涮鍋 個人鍋 日式火鍋,110台灣台北市信義區110松壽路12號5樓,4.4,4.4,370,25.0352542,121.5659448,5.401823269,1,+886 2 7735 2886,,0,火鍋,0,370,88,57,90
1158,珍味小火鍋,110台灣台北市信義區松山路540巷13號,4,4,7,25.0376017,121.5777219,5.558343454,1,+886 2 2727 6726,,0,火鍋,0,7,80,2,90
1159,NICE GREEn 萊點鍋,110台灣台北市信義區松仁路28號,4.4,4.4,114,25.0393689,121.5678585,5.819100254,1,+886 2 8729 2737,,0,火鍋,0,114,88,29,90
1160,蛤?! Huh Pot 台北忠孝店,106台灣台北市大安區忠孝東路四段216巷32弄7號,4.9,4.9,2073,25.0399142,121.5525339,6.295938876,1,+886 2 8771 7177,$300-750,0,火鍋,0,2073,98,93,80
1161,石堂潮汕石頭火鍋,105台灣台北市松山區八德路三段130號,4.9,4.9,266,25.0480231,121.5543727,7.076409226,2,+886 2 2579 2669,,0,火鍋,0,266,98,49,80
1162,鄧家小火鍋,110台灣台北市信義區松山路183號,3.5,3.5,45,25.045881,121.577989,6.479333086,1,+886 2 2765 5069,,0,火鍋,0,45,70,13,80
1163,橘色涮涮屋A9館,110台灣台北市信義區松壽路9號,4.4,4.4,1471,25.0363392,121.5667018,5.505959121,1,+886 2 8789 6068,,4,火鍋,25,1496,87,88,90
1164,藏王 極上鍋物 - 天母店,111台灣台北市士林區忠誠路二段55號三樓,4.6,4.6,857,25.1118523,121.5314695,14.53922437,4,+886 2 2834 5578,,0,火鍋,0,857,92,78,60
1165,秋藏日和鍋物。天母火鍋店,111台灣台北市士林區天母東路43巷4弄3號店門：中山北路7段14巷26號隔壁,4.4,4.4,423,25.1187625,121.5326326,15.23668824,4,+886 2 2876 0018,$300-750,4,火鍋,7,430,87,61,50
1166,PON PIO 澎湃噢。火鍋天母店,111台灣台北市士林區德行東路228號,4.7,4.7,710,25.1092157,121.5330962,14.20971295,4,+886 2 8866 5355,$300-750,0,火鍋,0,710,94,73,60
1167,肉多多火鍋-天母新光三越店,111台灣台北市士林区天母东路68號A棟5樓,4.2,4.2,1699,25.1179204,121.5339295,15.10950458,4,+886 2 2877 2988,$300-750,0,火鍋,0,1699,84,90,50
1168,和記小火鍋,111台灣台北市士林區天母東路8巷27之1號,3.4,3.4,150,25.1169693,121.5320022,15.06476107,4,+886 2 2871 2080,,0,火鍋,0,150,68,34,50
1169,麗媽香香鍋-天母店,111台灣台北市士林區德行東路151號,4.1,4.1,130,25.1082554,121.5296873,14.21834834,4,+886 2 2832 1229,$1-300,0,火鍋,0,130,82,31,60
1170,劉媽媽酸菜白肉鍋,111台灣台北市士林區忠誠路二段166巷22號,4.6,4.6,152,25.1159186,121.5325615,14.93647327,4,+886 2 2871 1879,,0,火鍋,0,152,92,35,60
1171,天鍋宴天母店,111台灣台北市士林區天母北路66-1號,4.5,4.5,1469,25.1222222,121.5266667,15.78594819,4,+886 2 2873 3466,$300-750,4.5,火鍋,7,1476,90,88,50
1172,天鍋宴芝山店 高CP值火鍋 芝山捷運美食 人氣火鍋餐廳 台北士林天母火鍋 台北士林天母美食 美食餐廳,111台灣台北市士林區中山北路六段35巷27號,4.6,4.6,2211,25.102995,121.524844,13.84389036,4,+886 2 2831 1157,$300-750,0,火鍋,0,2211,92,93,60
1173,石二鍋 台北士林中正店(旗艦店),111台灣台北市士林區中正路183-185號,4.2,4.2,1507,25.0954753,121.5274527,12.97052785,4,+886 2 2883 4618,$300-750,0,火鍋,0,1507,84,88,60
1174,石二鍋 台北天母店,111台灣台北市士林區天母西路40號,4.1,4.1,1607,25.1182984,121.525922,15.39760783,4,+886 2 2871 5679,$300-750,4,火鍋,16,1623,81,89,50
