,Name,Address,Rating,User Ratings Total,Latitude,Longitude,Phone,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,serves_vegetarian_food,url,Price_level,Unnamed: 17,name,url_tripadvisor,address,phone,rating_trip,type,user_number_trip
278,民生牛肉麵,105台灣台北市松山區三民路180巷49號,4.9,101,25.0626837,121.5651479,+886 980 698 818,星期一: 休息,"星期二: 11:00 – 14:00, 16:00 – 20:00","星期三: 11:00 – 14:00, 16:00 – 20:00","星期四: 11:00 – 14:00, 16:00 – 20:00","星期五: 11:00 – 14:00, 16:00 – 20:00","星期六: 11:00 – 14:00, 16:00 – 20:00","星期日: 11:00 – 14:00, 16:00 – 20:00",,https://maps.google.com/?cid=6946023768187081554,,,,,,,0,,0
279,欣葉小聚 南港店,115台灣台北市南港区经贸二路166號A棟 中國信託金融園區 1樓號,4.1,1533,25.0585875,121.6160754,+886 2 2785 1819,"星期一: 11:00 – 14:30, 17:00 – 21:00","星期二: 11:00 – 14:30, 17:00 – 21:00","星期三: 11:00 – 14:30, 17:00 – 21:00","星期四: 11:00 – 14:30, 17:00 – 21:00","星期五: 11:00 – 14:30, 17:00 – 21:00","星期六: 11:00 – 14:30, 17:00 – 21:00","星期日: 11:00 – 14:30, 17:00 – 21:00",,https://maps.google.com/?cid=3702502844456360793,2,,,,,,0,,0
280,臺北市雙層餐車,110台灣台北市信義區忠孝東路五段68-2號,3.4,53,25.0409818,121.5669469,+886 2 8791 6557,星期一: 休息,"星期二: 14:00 – 15:30, 17:00 – 18:30, 19:30 – 21:00","星期三: 14:00 – 15:30, 17:00 – 18:30, 19:30 – 21:00","星期四: 14:00 – 15:30, 17:00 – 18:30, 19:30 – 21:00","星期五: 14:00 – 15:30, 17:00 – 18:30, 19:30 – 21:00","星期六: 14:00 – 15:30, 17:00 – 18:30, 19:30 – 21:00","星期日: 14:00 – 15:30, 17:00 – 18:30, 19:30 – 21:00",,https://maps.google.com/?cid=1516081034610559091,,,,,,,0,,0
281,TGI FRIDAYS 星期五美式餐廳 中壢餐廳,320台灣桃園市中壢區中園路二段501號4樓,4.1,1771,25.0016279,121.2285567,+886 3 468 0020,星期一: 11:00 – 22:00,星期二: 11:00 – 22:00,星期三: 11:00 – 22:00,星期四: 11:00 – 22:00,星期五: 11:00 – 22:30,星期六: 11:00 – 22:30,星期日: 11:00 – 22:00,,https://maps.google.com/?cid=16166297255143848640,,,,,,,0,,0
282,馬友友印度廚房桃園店 Mayur Indian Kitchen Taoyuan MIK-11,330台灣桃園市桃園區中正路953號,4.8,1614,25.0129888,121.2998277,+886 3 355 5228,"星期一: 11:30 – 15:00, 17:00 – 22:00",星期二: 休息,"星期三: 11:30 – 15:00, 17:00 – 22:00","星期四: 11:30 – 15:00, 17:00 – 22:00","星期五: 11:30 – 15:00, 17:00 – 22:00","星期六: 11:30 – 15:00, 16:00 – 22:00","星期日: 11:30 – 15:00, 16:30 – 22:00",TRUE,https://maps.google.com/?cid=14054330288121317991,,,,,,,0,,0
283,擇食居酒屋,200台灣基隆市仁愛區孝一路23巷1弄2號,4.3,1459,25.1285641,121.7401525,+886 2 2427 2222,星期一: 17:30 – 01:00,星期二: 17:30 – 01:00,星期三: 17:30 – 01:00,星期四: 17:30 – 01:00,星期五: 17:30 – 02:00,星期六: 17:30 – 02:00,星期日: 17:30 – 01:00,,https://maps.google.com/?cid=4291192755054070363,2,,,,,,0,,0
284,盧卡義大利餐廳,333台灣桃園市龜山區文化一路10巷42弄29號1樓,4.4,435,25.0595728,121.3694213,+886 3 327 1108,星期一: 休息,"星期二: 11:30 – 15:00, 17:30 – 22:00","星期三: 11:30 – 15:00, 17:30 – 22:00","星期四: 11:30 – 15:00, 17:30 – 22:00","星期五: 11:30 – 15:00, 17:30 – 22:00","星期六: 11:30 – 15:00, 17:30 – 22:00","星期日: 11:30 – 15:00, 17:30 – 22:00",TRUE,https://maps.google.com/?cid=8985856638710392374,,,,,,,0,,0
285,聖托里尼海景餐廳,203台灣基隆市中山區湖海路一段18號2樓,3.9,1862,25.163981,121.7253641,+886 2 2422 6663,星期一: 11:00 – 22:30,星期二: 11:00 – 22:30,星期三: 11:00 – 22:30,星期四: 11:00 – 22:30,星期五: 11:00 – 22:30,星期六: 11:00 – 22:30,星期日: 11:00 – 22:30,TRUE,https://maps.google.com/?cid=17919581857615903773,2,,,,,,0,,0
286,藏壽司 中壢站前店,"3樓, No. 51號中正路中壢區桃園市台灣 320",4.1,4338,24.9541156,121.2240366,+886 3 426 9305,星期一: 11:00 – 22:00,星期二: 11:00 – 22:00,星期三: 11:00 – 22:00,星期四: 11:00 – 22:00,星期五: 11:00 – 22:00,星期六: 11:00 – 22:00,星期日: 11:00 – 22:00,FALSE,https://maps.google.com/?cid=2015503899881515155,2,,,,,,0,,0
287,可薩橄欖油手作料理 Francesco's Italian Restaurant,338台灣桃園市蘆竹區新興街71號,4.8,1021,25.0099598,121.2725302,+886 3 302 9989,"星期一: 11:30 – 15:00, 17:30 – 22:00","星期二: 11:30 – 15:00, 17:30 – 22:00","星期三: 11:30 – 15:00, 17:30 – 22:00","星期四: 11:30 – 15:00, 17:30 – 22:00","星期五: 11:30 – 15:00, 17:30 – 22:00",星期六: 11:30 – 22:00,星期日: 11:30 – 22:00,TRUE,https://maps.google.com/?cid=10511768257087408499,2,,,,,,0,,0
288,すき家 SUKIYA 板橋府中店,220台灣新北市板橋區中山路一段118-1號,4,1430,25.0104226,121.4631101,+886 80 003 1131,星期一: 24 小時營業,星期二: 24 小時營業,星期三: 24 小時營業,星期四: 24 小時營業,星期五: 24 小時營業,星期六: 24 小時營業,星期日: 24 小時營業,,https://maps.google.com/?cid=17487437720101725340,1,,,,,,0,,0
289,港都熱炒 中和總店,235台灣新北市中和區大勇街12號10號,4.3,1575,24.9926285,121.517261,+886 2 2940 6751,星期一: 17:00 – 01:00,星期二: 17:00 – 01:00,星期三: 17:00 – 01:00,星期四: 17:00 – 01:00,星期五: 17:00 – 01:00,星期六: 17:00 – 01:00,星期日: 17:00 – 01:00,TRUE,https://maps.google.com/?cid=17180535215906318131,2,, 港都熱炒 中山旗艦店,https://www.tripadvisor.com.tw/Restaurant_Review-g13808671-d23694400-Reviews-Gang_Dou_Zhongshan_Store-Zhongshan_District_Taipei.html,104011 台灣 中山區台北 民生东路一段52号,+886 2 2940 6751,5,"中式料理, 亞洲料理, 晚餐, 台灣小吃/台菜, 餐酒吧, 啤酒餐廳",2
290,安打西餐廳(名人堂花園大飯店) Hit Western Restaurant,325台灣桃園市龍潭區民生路141巷150號1F,3.9,270,24.8436783,121.2287557,+886 3 499 3030,星期一: 06:30 – 02:00,星期二: 06:30 – 02:00,星期三: 06:30 – 02:00,星期四: 06:30 – 02:00,星期五: 06:30 – 02:00,星期六: 06:30 – 02:00,星期日: 06:30 – 02:00,,https://maps.google.com/?cid=9672247641787133679,,,,,,,0,,0
291,TGI FRIDAYS 星期五美式餐廳 桃園餐廳,330台灣桃園市桃園區中正路1117號,4.1,1442,25.0174135,121.297693,+886 3 326 3579,星期一: 11:30 – 21:30,星期二: 11:30 – 21:30,星期三: 11:30 – 21:30,星期四: 11:30 – 21:30,星期五: 11:30 – 22:00,星期六: 11:30 – 22:00,星期日: 11:30 – 21:30,,https://maps.google.com/?cid=6991085711517656803,3,,,,,,0,,0
292,清真黃牛肉麵館,100台灣台北市中正區延平南路23號,4.2,1325,25.045725,121.510765,+886 2 2331 8203,星期一: 休息,星期二: 11:00 – 19:20,星期三: 11:00 – 19:20,星期四: 11:00 – 19:20,星期五: 11:00 – 19:20,星期六: 11:00 – 19:20,星期日: 11:00 – 19:20,,https://maps.google.com/?cid=12287280161629503375,1,,,,,,0,,0
293,"Mayur Indian kitchen - beach restaurant, MIK-9 馬友友印度廚房 - 淺水灣三芝店",252台灣新北市三芝區北勢子12-8號,4.9,910,25.2551003,121.4744181,+886 2 2636 8851,星期一: 11:00 – 21:30,星期二: 11:00 – 21:30,星期三: 11:00 – 21:30,星期四: 11:00 – 21:30,星期五: 11:00 – 21:30,星期六: 11:00 – 21:30,星期日: 11:00 – 21:30,,https://maps.google.com/?cid=14561222997775252092,,,,,,,0,,0
294,蔬軾．農安店．創意蔬食料理．So Veg Restaurant,10491台灣台北市中山區農安街263號,4.8,1831,25.064749,121.5356863,+886 2 2509 9936,"星期一: 11:30 – 14:30, 17:30 – 21:00","星期二: 11:30 – 14:30, 17:30 – 21:00","星期三: 11:30 – 14:30, 17:30 – 21:00","星期四: 11:30 – 14:30, 17:30 – 21:00","星期五: 11:30 – 14:30, 17:30 – 21:00","星期六: 11:30 – 14:30, 17:30 – 21:00","星期日: 11:30 – 14:30, 17:30 – 21:00",TRUE,https://maps.google.com/?cid=12165230169924153337,2,,,,,,0,,0
295,Oh my!原燒 台北林森北店,10491台灣台北市中山区林森北路123號2F,4.7,3708,25.0508364,121.5252147,+886 2 2522 1688,"星期一: 11:30 – 14:00, 17:30 – 21:00","星期二: 11:30 – 14:00, 17:30 – 21:00","星期三: 11:30 – 14:00, 17:30 – 21:00","星期四: 11:30 – 14:00, 17:30 – 21:00","星期五: 11:30 – 14:00, 17:30 – 21:00","星期六: 11:00 – 14:00, 17:00 – 21:00","星期日: 11:00 – 14:00, 17:00 – 21:00",,https://maps.google.com/?cid=11217499959942618348,2,, 原燒 - 台北林森北店,https://www.tripadvisor.com.tw/Restaurant_Review-g13808671-d17338152-Reviews-Yakiyan-Zhongshan_District_Taipei.html,台灣 中山區台北 2/F 2樓,+886 2 2522 1688,5,燒烤,1
296,Desi Spices Indian Restaurant Cuisine,320台灣桃園市中壢區九和一街26號,4.7,1031,24.9614369,121.22371,+886 3 425 2799,星期一: 休息,"星期二: 11:30 – 14:30, 17:00 – 21:00","星期三: 11:30 – 14:30, 17:00 – 21:00","星期四: 11:30 – 14:30, 17:00 – 21:00","星期五: 11:30 – 14:30, 17:00 – 21:00","星期六: 11:30 – 15:00, 17:00 – 21:00","星期日: 11:30 – 15:00, 17:00 – 21:00",,https://maps.google.com/?cid=4630544960544149542,2,,,,,,0,,0
297,La Foresta Restaurant 森林義式餐廳,220台灣新北市板橋區民權路202巷24號,4.6,444,25.0170706,121.4607428,+886 2 2275 0168,"星期一: 11:00 – 15:00, 17:00 – 20:30","星期二: 11:00 – 15:00, 17:00 – 20:30","星期三: 11:00 – 15:00, 17:00 – 20:00",星期四: 休息,"星期五: 11:00 – 15:00, 17:00 – 20:30","星期六: 11:00 – 15:00, 17:00 – 20:30","星期日: 11:00 – 15:00, 17:00 – 20:30",,https://maps.google.com/?cid=10792902490256042819,,,,,,,0,,0
298,昆明園 Kunming Islamic Restaurant,105台灣台北市松山區復興北路81巷26號,4.4,684,25.0510673,121.545166,+886 2 2751 6776,"星期一: 11:30 – 14:00, 17:30 – 21:00","星期二: 11:30 – 14:00, 17:30 – 21:00","星期三: 11:30 – 14:00, 17:30 – 21:00","星期四: 11:30 – 14:00, 17:30 – 21:00","星期五: 11:30 – 14:00, 17:30 – 21:00",星期六: 17:30 – 21:00,星期日: 17:30 – 21:00,TRUE,https://maps.google.com/?cid=5574949563295418170,2,, 清真昆明園,https://www.tripadvisor.com.tw/Restaurant_Review-g13806900-d776400-Reviews-Kunming_Islamic_Food-Songshan_Taipei.html,台灣 松山台北 复兴北路81巷26号,+886 2 2751 6776,4,印度料理亞洲料理提供素食選擇,46
299,胖達關東煮,251台灣新北市淡水區北新路一段184巷43號,4.6,337,25.1778403,121.450841,+886 918 860 395,星期一: 休息,星期二: 16:30 – 01:30,星期三: 16:30 – 01:30,星期四: 16:30 – 01:30,星期五: 16:30 – 01:30,星期六: 休息,星期日: 16:30 – 01:30,,https://maps.google.com/?cid=1867475264556906824,1,,,,,,0,,0
300,春餘園子,251台灣新北市淡水區36號,4.3,460,25.1926064,121.4904273,+886 2 2626 6699,星期一: 休息,"星期二: 11:30 – 14:30, 17:00 – 20:00","星期三: 11:30 – 14:30, 17:00 – 20:00",星期四: 休息,"星期五: 11:30 – 14:30, 17:00 – 20:00","星期六: 11:30 – 14:30, 17:00 – 20:00","星期日: 11:30 – 14:30, 17:00 – 20:00",TRUE,https://maps.google.com/?cid=6647957295823472675,3,,,,,,0,,0
301,天元素食,251台灣新北市淡水區北新路三段34號,4.7,154,25.18671,121.483885,+886 976 791 836,星期一: 11:00 – 18:00,星期二: 11:00 – 18:00,星期三: 休息,星期四: 11:00 – 18:00,星期五: 11:00 – 18:00,星期六: 11:00 – 18:00,星期日: 11:00 – 18:00,TRUE,https://maps.google.com/?cid=17449293133522713266,2,,,,,,0,,0
302,緣道觀音廟道咖啡,251台灣新北市淡水區3號,4.3,132,25.2146742,121.4868141,+886 2 2626 9242,星期一: 休息,星期二: 10:00 – 16:00,星期三: 10:00 – 16:00,星期四: 10:00 – 16:00,星期五: 10:00 – 16:00,星期六: 10:00 – 16:00,星期日: 10:00 – 16:00,TRUE,https://maps.google.com/?cid=4955015930489345298,2,,,,,,0,,0
303,石牆仔內,25150台灣新北市淡水区3號,4.1,1537,25.1955252,121.4863875,+886 2 2621 0252,星期一: 11:00 – 19:00,星期二: 休息,星期三: 11:00 – 19:00,星期四: 11:00 – 19:00,星期五: 11:00 – 19:00,星期六: 11:00 – 19:00,星期日: 11:00 – 19:00,,https://maps.google.com/?cid=11475730313018798653,,,,,,,0,,0
304,山珍海味,251台灣新北市淡水區北新路三段167號,4.3,447,25.1907436,121.4898651,+886 2 2621 3838,星期一: 11:00 – 21:00,星期二: 11:00 – 21:00,星期三: 休息,星期四: 11:00 – 21:00,星期五: 11:00 – 09:00,星期六: 11:00 – 09:00,星期日: 11:00 – 09:00,,https://maps.google.com/?cid=9004179899304656581,2,,,,,,0,,0
305,偶素馬來妹,251台灣新北市淡水區北新路三段58號,4.9,15,25.1875621,121.4850428,+886 979 736 160,星期一: 休息,星期二: 休息,星期三: 10:30 – 18:00,星期四: 休息,星期五: 休息,星期六: 10:30 – 18:00,星期日: 休息,,https://maps.google.com/?cid=14775943157999916219,,,,,,,0,,0
306,古早味炒花生手工菜脯,"No, No. 3北新路三段32巷淡水區新北市台灣 251",5,6,25.186544,121.48401,+886 935 752 168,星期一: 11:00 – 17:00,星期二: 11:00 – 17:00,星期三: 11:00 – 17:00,星期四: 11:00 – 17:00,星期五: 11:00 – 17:00,星期六: 11:00 – 17:00,星期日: 11:00 – 17:00,TRUE,https://maps.google.com/?cid=12303717236860678590,,,,,,,0,,0
307,麥當勞-淡水新市餐廳,251台灣新北市淡水區新市一路三段151號,4.1,4281,25.1832541,121.4480215,+886 2 2620 0051,星期一: 24 小時營業,星期二: 24 小時營業,星期三: 24 小時營業,星期四: 24 小時營業,星期五: 24 小時營業,星期六: 24 小時營業,星期日: 24 小時營業,FALSE,https://maps.google.com/?cid=7651386321554630069,1,,,,,,0,,0
308,北新莊山產城,252台灣新北市三芝區興華里田心子7之2號,4,81,25.2040979,121.499295,+886 2 2637 1251,星期一: 休息,星期二: 11:00 – 20:00,星期三: 11:00 – 20:00,星期四: 11:00 – 20:00,星期五: 11:00 – 20:00,星期六: 11:00 – 20:00,星期日: 11:00 – 20:00,,https://maps.google.com/?cid=1597645513411376607,,,,,,,0,,0
309,愛蘭餃素餃工坊,251台灣新北市淡水區北新路三段48號,,,25.1873999,121.4845659,+886 920 338 388,"星期一: 11:00 – 14:30, 17:00 – 20:00",星期二: 11:00 – 20:00,星期三: 11:00 – 20:00,星期四: 11:00 – 20:00,星期五: 11:00 – 20:00,"星期六: 11:00 – 14:30, 17:00 – 20:00","星期日: 11:00 – 14:00, 17:00 – 20:00",,https://maps.google.com/?cid=7972720013231679680,,,,,,,0,,0
310,金龍土雞城,252台灣新北市三芝區北新路45號,3.8,5,25.2049175,121.5020603,+886 2 2637 1465,星期一: 11:00 – 16:00,星期二: 11:00 – 16:00,星期三: 休息,星期四: 11:00 – 16:00,星期五: 11:00 – 16:00,星期六: 11:00 – 16:00,星期日: 11:00 – 16:00,,https://maps.google.com/?cid=16592004929438872704,,,,,,,0,,0
311,早餐店,251台灣新北市淡水區北新路二段140號,4.9,9,25.1851921,121.4820358,+886 912 509 086,星期一: 05:00 – 11:00,星期二: 05:00 – 11:00,星期三: 05:00 – 11:00,星期四: 05:00 – 11:00,星期五: 05:00 – 11:00,星期六: 05:00 – 11:00,星期日: 05:00 – 11:00,,https://maps.google.com/?cid=12895400264265265667,,,,,,,0,,0
312,Kooks 2 異嗑堂二店,251台灣新北市淡水區南勢埔32巷1號,4.4,773,25.179812,121.4842904,+886 2 2625 6610,星期一: 休息,星期二: 休息,星期三: 11:30 – 21:00,星期四: 11:30 – 21:00,星期五: 11:30 – 21:00,星期六: 11:30 – 21:00,星期日: 11:30 – 21:00,,https://maps.google.com/?cid=12582208493165102164,2,,,,,,0,,0
313,老淡水餐廳,251台灣新北市淡水區淡金路一段166號之1號166號之1,4,1078,25.1802195,121.453912,+886 2 8631 7373,"星期一: 11:00 – 14:00, 17:00 – 22:00","星期二: 11:00 – 14:00, 17:00 – 22:00","星期三: 11:00 – 14:00, 17:00 – 22:00","星期四: 11:00 – 14:00, 17:00 – 22:00","星期五: 11:00 – 14:00, 17:00 – 22:00",星期六: 11:00 – 22:00,星期日: 11:00 – 21:00,FALSE,https://maps.google.com/?cid=16419491864597722177,2,,,,,,0,,0
314,Hung Hsi Restaurant,251台灣新北市淡水區商工路309號,4.3,53,25.186873,121.458399,+886 2 8631 3393,星期一: 10:00 – 18:30,星期二: 10:00 – 18:30,星期三: 10:00 – 18:30,星期四: 10:00 – 18:30,星期五: 10:00 – 18:30,星期六: 10:00 – 18:30,星期日: 10:00 – 18:30,TRUE,https://maps.google.com/?cid=2485640627457256707,,,,,,,0,,0
315,博串燒居酒屋,251台灣新北市淡水區學府路60-7號,4.2,62,25.1698061,121.4484752,+886 917 218 278,星期一: 19:00 – 01:00,星期二: 19:00 – 01:00,星期三: 19:00 – 01:00,星期四: 19:00 – 01:00,星期五: 19:00 – 01:00,星期六: 19:00 – 01:00,星期日: 19:00 – 01:00,,https://maps.google.com/?cid=3725649834302667009,2,,,,,,0,,0
316,北海岸餐廳,251台灣新北市淡水區淡金路三段218號,4.1,220,25.2047316,121.4490233,+886 2 2620 9312,星期一: 休息,"星期二: 11:00 – 14:00, 16:30 – 22:00","星期三: 11:00 – 14:00, 16:30 – 22:00","星期四: 11:00 – 14:00, 16:30 – 22:00","星期五: 11:00 – 14:00, 16:30 – 22:00","星期六: 11:00 – 14:00, 16:30 – 22:00","星期日: 11:00 – 14:00, 16:30 – 22:00",,https://maps.google.com/?cid=11366836227480924312,2,,,,,,0,,0
317,淡水紅瓦厝,25149台灣新北市淡水區北投子路96號-7號,4,394,25.1770063,121.464322,+886 2 2626 4959,星期一: 休息,星期二: 10:00 – 21:00,星期三: 10:00 – 21:00,星期四: 10:00 – 21:00,星期五: 10:00 – 21:00,星期六: 10:00 – 21:00,星期日: 10:00 – 21:00,TRUE,https://maps.google.com/?cid=14631562644356482219,2,,,,,,0,,0
318,淡水富群休閒農園-柚香雞,251台灣新北市淡水區北新路一段129-1號,4,550,25.1822103,121.4578168,+886 2 2628 2899,"星期一: 11:00 – 14:00, 17:00 – 21:00",星期二: 休息,"星期三: 11:00 – 14:00, 17:00 – 21:00","星期四: 11:00 – 14:00, 17:00 – 21:00","星期五: 11:00 – 14:00, 17:00 – 21:00",星期六: 11:00 – 21:00,星期日: 11:00 – 21:00,,https://maps.google.com/?cid=14282715073371635177,2,,,,,,0,,0
319,阿娥排骨麵,251台灣新北市淡水區淡金路一段150-1號,3.9,2616,25.1764911,121.4566228,+886 2 2625 0228,星期一: 休息,星期二: 06:00 – 21:00,星期三: 06:00 – 21:00,星期四: 06:00 – 21:00,星期五: 06:00 – 21:00,星期六: 06:00 – 21:00,星期日: 06:00 – 21:00,,https://maps.google.com/?cid=10077212892371386826,1,,,,,,0,,0
320,Lachou (丘山雨林) 素食,"No. 180, 1F, 學府路淡水區新北市台灣 251",4.7,241,25.1756875,121.4466021,+886 2 2623 5222,星期一: 休息,"星期二: 11:30 – 14:00, 17:30 – 20:00","星期三: 11:30 – 14:00, 17:30 – 20:00","星期四: 11:30 – 14:00, 17:30 – 20:00","星期五: 11:30 – 14:00, 17:30 – 20:00","星期六: 11:30 – 14:00, 17:30 – 20:00","星期日: 11:30 – 14:00, 17:30 – 20:00",TRUE,https://maps.google.com/?cid=11149191660187101336,2,,,,,,0,,0
321,Buona Pasta 水源店,251台灣新北市淡水區水源街二段92巷5弄2號,4.6,725,25.1742008,121.4518669,+886 2 2629 3083,"星期一: 11:30 – 15:00, 17:00 – 21:00","星期二: 11:30 – 15:00, 17:00 – 21:00","星期三: 11:30 – 15:00, 17:00 – 21:00","星期四: 11:30 – 15:00, 17:00 – 21:00","星期五: 11:30 – 15:00, 17:00 – 21:00","星期六: 11:30 – 15:00, 17:00 – 21:00","星期日: 11:30 – 15:00, 17:00 – 21:00",,https://maps.google.com/?cid=16899053147909461552,,,,,,,0,,0
322,4F小飯館,251台灣新北市淡水区北新路182巷32號2F,4.7,2186,25.1777907,121.448721,+886 2 2621 5193,星期一: 休息,星期二: 休息,"星期三: 11:30 – 15:00, 17:00 – 22:00","星期四: 11:30 – 15:00, 17:00 – 22:00","星期五: 11:30 – 15:00, 17:00 – 22:00","星期六: 11:30 – 16:00, 17:00 – 22:00","星期日: 11:30 – 16:00, 17:00 – 22:00",TRUE,https://maps.google.com/?cid=11456235409352460559,2,,,,,,0,,0
323,佳佳早餐店,251台灣新北市淡水區北新路182巷5弄14號,4.7,169,25.1775354,121.4497473,+886 2 2623 0352,星期一: 05:00 – 12:00,星期二: 05:00 – 12:00,星期三: 05:00 – 12:00,星期四: 05:00 – 12:00,星期五: 05:00 – 12:00,星期六: 05:00 – 12:00,星期日: 休息,,https://maps.google.com/?cid=11015087994694015546,1,,,,,,0,,0
324,越式美食館,251台灣新北市淡水區中山北路一段186巷27弄5號,4.4,62,25.1789366,121.4461027,+886 2 2620 6588,"星期一: 11:00 – 14:30, 17:00 – 20:30","星期二: 11:00 – 14:30, 17:00 – 20:30","星期三: 11:00 – 14:30, 17:00 – 20:30","星期四: 11:00 – 14:30, 17:00 – 20:30","星期五: 11:00 – 14:30, 17:00 – 20:30","星期六: 11:00 – 14:30, 17:00 – 20:30",星期日: 休息,,https://maps.google.com/?cid=15979742567099894865,,,,,,,0,,0
325,阿妹小吃,252台灣新北市三芝區112-4號,4.1,119,25.2098938,121.5108895,+886 905 053 353,星期一: 休息,星期二: 10:00 – 19:00,星期三: 10:00 – 19:00,星期四: 10:00 – 19:00,星期五: 10:00 – 19:00,星期六: 10:00 – 19:00,星期日: 10:00 – 19:00,,https://maps.google.com/?cid=6195936127552044799,,,,,,,0,,0
326,包羅食堂,251台灣新北市淡水區淡金路四段542巷2號,4.7,38,25.2268108,121.4520071,+886 987 338 635,星期一: 11:00 – 21:00,星期二: 11:00 – 21:00,星期三: 11:00 – 21:00,星期四: 11:00 – 21:00,星期五: 11:00 – 21:00,星期六: 11:00 – 21:00,星期日: 11:00 – 21:00,,https://maps.google.com/?cid=8887423298334183784,1,,,,,,0,,0
327,竹園台菜餐廳,251台灣新北市淡水區淡金路一段399號之6號,4.2,268,25.1763059,121.456176,+886 2 2626 4066,"星期一: 11:00 – 14:00, 17:00 – 21:00","星期二: 11:00 – 14:00, 17:00 – 21:00","星期三: 11:00 – 14:00, 17:00 – 21:00",星期四: 休息,"星期五: 11:00 – 14:00, 17:00 – 21:00","星期六: 11:00 – 14:00, 17:00 – 21:00","星期日: 11:00 – 14:00, 17:00 – 21:00",,https://maps.google.com/?cid=8089734950422227242,2,,,,,,0,,0
328,The PIrate Bay 海盜灣漢堡,251台灣新北市淡水區北新路184巷122號B1,4.1,253,25.1774717,121.4501788,+886 909 696 500,"星期一: 12:00 – 14:00, 17:00 – 20:30","星期二: 12:00 – 14:00, 17:00 – 20:30","星期三: 12:00 – 14:00, 17:00 – 20:30","星期四: 12:00 – 14:00, 17:00 – 20:30","星期五: 12:00 – 14:00, 17:00 – 20:30",星期六: 17:00 – 20:00,星期日: 17:00 – 20:00,,https://maps.google.com/?cid=15665606032660939501,2,,,,,,0,,0
329,くら寿司 藏壽司 淡水站前店,251台灣新北市淡水區中山路8號5樓,4.1,2705,25.1690545,121.4450476,+886 2 2626 3577,星期一: 11:00 – 22:00,星期二: 11:00 – 22:00,星期三: 11:00 – 22:00,星期四: 11:00 – 22:00,星期五: 11:00 – 22:00,星期六: 11:00 – 22:00,星期日: 11:00 – 22:00,,https://maps.google.com/?cid=7008651239690680201,2,,,,,,0,,0
330,麥軒早餐店,251台灣新北市淡水區中山北路三段165號,4.3,67,25.1968956,121.445344,+886 2 2621 1193,星期一: 05:00 – 12:00,星期二: 05:00 – 12:00,星期三: 05:00 – 12:00,星期四: 05:00 – 12:00,星期五: 05:00 – 12:00,星期六: 05:00 – 12:00,星期日: 05:00 – 12:00,,https://maps.google.com/?cid=17212527517797743373,1,,,,,,0,,0
331,鮮堡漢堡聖約翰店,251台灣新北市淡水區淡金路四段510號,4.6,18,25.2257122,121.4521102,+886 988 629 549,星期一: 06:45 – 11:00,星期二: 06:45 – 11:00,星期三: 06:45 – 11:00,星期四: 06:45 – 11:00,星期五: 06:45 – 11:00,星期六: 休息,星期日: 06:45 – 11:00,,https://maps.google.com/?cid=17864300761402232281,,,,,,,0,,0
332,芽 義式餐廳,251台灣新北市淡水區北新路184巷142弄21號,4.5,127,25.1770506,121.4509533,+886 976 012 347,星期一: 11:00 – 20:00,星期二: 11:00 – 20:00,星期三: 11:00 – 20:00,星期四: 11:00 – 20:00,星期五: 11:00 – 20:00,星期六: 11:00 – 20:00,星期日: 11:00 – 20:00,,https://maps.google.com/?cid=6039868567394933944,,,,,,,0,,0
333,迴味食光和風食堂,251台灣新北市淡水區北新路184巷168號,4.9,508,25.1770784,121.4516528,+886 2 2628 1319,"星期一: 11:30 – 14:00, 17:00 – 20:00","星期二: 11:30 – 14:00, 17:00 – 20:00","星期三: 11:30 – 14:00, 17:00 – 20:00","星期四: 11:30 – 14:00, 17:00 – 20:00","星期五: 11:30 – 14:00, 17:00 – 20:00",星期六: 休息,"星期日: 11:30 – 14:00, 17:00 – 20:00",,https://maps.google.com/?cid=1973017183345208448,,,,,,,0,,0
334,湘川烤魚｜重慶烤魚｜麻辣干鍋｜特色小炒｜淡水美食｜淡水餐廳推薦｜輕軌美食｜包廂宴席｜中式料理,251台灣新北市淡水區新市二路四段265號,4.5,1195,25.1925651,121.4454199,+886 2 8631 8000,"星期一: 11:30 – 14:00, 17:00 – 21:00","星期二: 11:30 – 14:00, 17:00 – 21:00","星期三: 11:30 – 14:00, 17:00 – 21:00","星期四: 11:30 – 14:00, 17:00 – 21:00","星期五: 11:30 – 14:00, 17:00 – 21:00","星期六: 11:30 – 14:00, 17:00 – 21:00","星期日: 11:30 – 14:00, 17:00 – 21:00",TRUE,https://maps.google.com/?cid=7095180613490499878,2,,,,,,0,,0
335,炊々食堂 (炊炊食堂),251台灣新北市淡水區北新路184巷124號,4.7,14,25.1774051,121.4502769,+886 2 2620 6695,星期一: 17:00 – 21:00,星期二: 17:00 – 21:00,星期三: 17:00 – 21:00,星期四: 17:00 – 21:00,星期五: 17:00 – 21:00,星期六: 17:00 – 21:00,星期日: 休息,,https://maps.google.com/?cid=11757562790195609497,,,,,,,0,,0
336,川味串香 麵食館,251台灣新北市淡水區北新路182巷16號,4.6,680,25.1779942,121.4490687,+886 2 2626 0136,星期一: 11:00 – 20:00,星期二: 11:00 – 20:00,星期三: 11:00 – 20:00,星期四: 11:00 – 20:00,星期五: 11:00 – 20:00,星期六: 休息,星期日: 11:00 – 20:00,TRUE,https://maps.google.com/?cid=17767346769322056604,,,,,,,0,,0
