,Name,Address,Rating,User Ratings Total,Latitude,Longitude,Phone,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,serves_vegetarian_food,url_googlemap,Price_level,name,url_tripadvisor,address,phone,rating_trip,type,user_number_trip
117,温德德式烘焙餐館 (天母店),111台灣台北市士林區德行西路5號,4.4,2305,25.1063958,121.5244816,+886 2 2831 4415,星期一: 休息,星期二: 11:30 – 21:00,星期三: 11:30 – 21:00,星期四: 11:30 – 21:00,星期五: 11:30 – 21:00,星期六: 11:30 – 20:00,星期日: 11:30 – 21:00,TRUE,https://maps.google.com/?cid=6208534812169060684,3, 溫德德式烘焙餐館 - 天母店,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d4845244-Reviews-Wendel_s_Tianmu-Shilin_Taipei.html,111 台灣 士林台北 德行西路5号,+886 2 2831 4415,4,義式料理,22
119,大豐花園餐廳,111台灣台北市士林區至善路三段230號,3.9,381,25.119626,121.581818,+886 2 2841 2046,星期一: 11:00 – 21:00,星期二: 11:00 – 21:00,星期三: 11:00 – 21:00,星期四: 11:00 – 21:00,星期五: 11:00 – 21:00,星期六: 11:00 – 21:00,星期日: 11:00 – 21:00,,https://maps.google.com/?cid=15824438654277731644,2, 大豐花園餐廳,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d4568687-Reviews-Dafeng_Huayuan_Canting-Shilin_Taipei.html,"台灣 士林台北 No.230, Sec. 3, Zhishan Rd., Shilin Dist.",+886 2 2841 2046,3,"義式料理,酒吧,披薩",1
121,銀座日本料理,111台灣台北市士林區德行東路101號,4.4,1247,25.1077333,121.5280683,+886 2 2832 6501,星期一: 休息,"星期二: 11:30 – 14:00, 17:00 – 21:00","星期三: 11:30 – 14:00, 17:00 – 21:00","星期四: 11:30 – 14:00, 17:00 – 21:00","星期五: 11:30 – 14:00, 17:00 – 21:00","星期六: 11:30 – 14:00, 17:00 – 21:00","星期日: 11:30 – 14:00, 17:00 – 21:00",,https://maps.google.com/?cid=12112746793417169395,3, 銀座日本料理,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d4845003-Reviews-Yinzuo_Riben_Liaoli-Shilin_Taipei.html,"台灣 士林台北 No.105, Dexing E. Rd., Shilin Dist.",+886 2 2832 6501,4.5,咖啡廳,6
122,屋頂上,111台灣台北市士林區凱旋路61巷4弄33號,4.2,6898,25.1334811,121.5394123,+886 2 2862 2255,星期一: 17:00 – 03:00,星期二: 17:00 – 03:00,星期三: 17:00 – 03:00,星期四: 17:00 – 03:00,星期五: 17:00 – 03:00,星期六: 17:00 – 03:00,星期日: 17:00 – 03:00,,https://maps.google.com/?cid=15108949339823058227,3, 屋頂上,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d4105740-Reviews-Tha_Top-Shilin_Taipei.html,111 台灣 士林台北 士林区凯旋路61巷4弄33号,+886 2 2862 2255,4,中式料理,152
123,莎諾西餐,112台灣台北市北投區天母西路105號,4.5,1977,25.1188304,121.5237126,+886 2 2876 5399,星期一: 11:00 – 21:30,星期二: 11:00 – 21:30,星期三: 11:00 – 21:30,星期四: 11:00 – 21:30,星期五: 11:00 – 21:30,星期六: 11:00 – 21:30,星期日: 11:00 – 21:30,,https://maps.google.com/?cid=17390365114278319585,2, 莎諾歐法西餐 榮總店,https://www.tripadvisor.com.tw/Restaurant_Review-g13806427-d4845194-Reviews-Shanuo_Oufaxican_Rongzong-Beitou_Taipei.html,"台灣 北投台北 No.105, Tianmu W. Rd., Beitou District",+886 2 2876 5399,4,"義式料理,酒吧,披薩",6
124,草山夜未眠景觀餐廳,111台灣台北市士林區東山路25巷81弄99號,4.4,7024,25.1340198,121.5353772,+886 2 2862 3751,星期一: 16:00 – 03:00,星期二: 16:00 – 03:00,星期三: 16:00 – 03:00,星期四: 16:00 – 03:00,星期五: 16:00 – 03:00,星期六: 15:00 – 03:00,星期日: 15:00 – 03:00,,https://maps.google.com/?cid=12362629136099441906,2, 草山夜未眠,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d10311438-Reviews-Chousan-Shilin_Taipei.html,111 台灣 士林台北 东山路25巷81弄99号 士林区,+886 2 2862 3751,4.5,中式料理浙江亞洲料理,47
126,月湖歐式餐廳,111台灣台北市士林區忠誠路二段50巷6號,4.4,385,25.110865,121.530114,+886 2 2838 1478,"星期一: 11:30 – 14:30, 18:00 – 21:30","星期二: 11:30 – 14:30, 18:00 – 21:30","星期三: 11:30 – 14:30, 18:00 – 21:30","星期四: 11:30 – 14:30, 18:00 – 21:30","星期五: 11:30 – 14:30, 18:00 – 21:30","星期六: 11:30 – 14:30, 18:00 – 21:30","星期日: 11:30 – 14:30, 18:00 – 21:30",,https://maps.google.com/?cid=141927194645818832,3, 月湖歐式料理,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d6138457-Reviews-Mondsee_Restaurant-Shilin_Taipei.html,"台灣 士林台北 No. 6, Ln. 50, Sec. 2, Zhongcheng Rd., Shilin Dist",+886 2 2838 1478,4.5,燒烤,10
128,Chili's Grill & Bar 美式休閒餐廳 - 天母店,111台灣台北市士林區忠誠路二段55號2樓,4.3,1420,25.1123175,121.5317816,+886 2 2875 4838,"星期一: 11:30 – 14:30, 17:30 – 21:30","星期二: 11:30 – 14:30, 17:30 – 21:30","星期三: 11:30 – 14:30, 17:30 – 21:30","星期四: 11:30 – 14:30, 17:30 – 21:30","星期五: 11:30 – 14:30, 17:30 – 22:00",星期六: 11:30 – 22:00,星期日: 11:30 – 21:30,,https://maps.google.com/?cid=3577329955458540761,2, CHILIS西餐廳 天母店,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d4568636-Reviews-Chili_s-Shilin_Taipei.html,"111 台灣 士林台北 士林区忠诚路二段200号2楼 2F, Bldg. B, Shin Kong Mitsukoshi Tianmu",+886 2 2875 4838,3.5,,38
129,仙客來海鮮庭園餐廳,112台灣台北市北投區東華街二段114號,4,2102,25.1187792,121.5129538,+886 2 2820 4658,星期一: 16:30 – 02:00,星期二: 16:30 – 02:00,星期三: 16:30 – 02:00,星期四: 16:00 – 02:00,星期五: 16:30 – 02:00,星期六: 16:30 – 02:00,星期日: 16:30 – 02:00,,https://maps.google.com/?cid=1039514009473975877,2, 仙客來海鮮庭園餐廳,https://www.tripadvisor.com.tw/Restaurant_Review-g13806427-d6143106-Reviews-Xian_Ke_Lai_Seafood_Restaurant-Beitou_Taipei.html,"台灣 北投台北 No. 114, Sec. 2, Donghua St., Beitou Dist",+886 2 2820 4658,4,義式料理健康料理,5
130,The Pita Bar Taipei,111台灣台北市士林區中山北路六段476號,4.5,517,25.1148952,121.5278451,+886 2 2874 9237,星期一: 11:00 – 20:30,星期二: 11:00 – 20:30,星期三: 11:00 – 20:30,星期四: 11:00 – 20:30,星期五: 11:00 – 20:30,星期六: 11:00 – 20:30,星期日: 11:00 – 20:30,,https://maps.google.com/?cid=17457638608653062479,2, The Pita Bar,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d12921103-Reviews-The_Pita_Bar-Shilin_Taipei.html,111 台灣 士林台北 士林区中山北路6段476号,+886 2 2874 9237,4.5,義式料理健康料理,19
131,ZEST CAFE' 甜橙風味 35休閒景觀餐廳,111台灣台北市士林區中山北路七段232巷1弄72號,3.5,685,25.1328299,121.5362179,+886 2 2862 0588,星期一: 17:00 – 03:00,星期二: 17:00 – 03:00,星期三: 17:00 – 03:00,星期四: 17:00 – 03:00,星期五: 17:00 – 03:00,星期六: 16:00 – 03:00,星期日: 16:00 – 03:00,,https://maps.google.com/?cid=3287898915001890575,2, Zest三五會館觀景餐廳 天母東山店,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d4568992-Reviews-Zest_Sanwu_Huiguan_Guanjing_Restaurant_Tianmu_Dongshan-Shilin_Taipei.html,"台灣 士林台北 No.72, Aly. 1, Ln. 232, Sec. 7, Zhongshan N. Rd., Shilin Dist.,",+886 2 2862 0588,3,中式料理咖啡廳,1
132,大邱大叔（韓大叔）,11148台灣台北市士林區忠誠路一段91號,4.1,1074,25.104646,121.528231,+886 2 2838 3703,"星期一: 11:30 – 14:30, 17:00 – 21:30","星期二: 11:30 – 14:30, 17:00 – 21:30","星期三: 11:30 – 14:30, 17:00 – 21:30","星期四: 11:30 – 14:30, 17:00 – 21:30","星期五: 11:30 – 14:30, 17:00 – 21:30","星期六: 11:30 – 14:30, 17:00 – 21:00","星期日: 11:30 – 14:30, 17:00 – 21:00",,https://maps.google.com/?cid=8653406549705892253,2, 大邱大叔,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d14569599-Reviews-Da_Qiu_Da_Shu_Korean_Cuisine-Shilin_Taipei.html,11148 台灣 士林台北 忠诚路一段91号,+886 2 2838 3703,4.5,韓式料理,12
133,鬼店山產 約會景觀餐廳,111台灣台北市士林區中山北路七段219巷163號,4.1,108,25.132871,121.5325787,+886 2 2874 9066,星期一: 10:30 – 21:30,星期二: 10:30 – 21:30,星期三: 10:30 – 21:30,星期四: 10:30 – 21:30,星期五: 10:30 – 21:30,星期六: 10:30 – 21:30,星期日: 10:30 – 21:30,FALSE,https://maps.google.com/?cid=9097693103951273975,, 阿水的家,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d6134391-Reviews-A_Sui_de_Jia_Cafe-Shilin_Taipei.html,"台灣 士林台北 No. 163, Ln. 219, Sec. 7, Zhongshan N. Rd., Shilin Dist",+886 2 2874 9066,4,日式料理海鮮亞洲料理,2
135,天母故事 輕食庭園餐廳,11151台灣台北市士林區中山北路七段219巷163號,1,1,25.132871,121.5325787,+886 2 2874 9066,星期一: 10:30 – 21:30,星期二: 10:30 – 21:30,星期三: 10:30 – 21:30,星期四: 10:30 – 21:30,星期五: 10:30 – 21:30,星期六: 10:30 – 21:30,星期日: 10:30 – 21:30,FALSE,https://maps.google.com/?cid=3536811619937172238,, 阿水的家,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d6134391-Reviews-A_Sui_de_Jia_Cafe-Shilin_Taipei.html,"台灣 士林台北 No. 163, Ln. 219, Sec. 7, Zhongshan N. Rd., Shilin Dist",+886 2 2874 9066,4,義式料理美式料理咖啡廳,2
137,阿水的家 夜景餐廳,111台灣台北市士林區中山北路七段219巷163號,4.3,127,25.132871,121.5325787,+886 2 2874 9066,星期一: 10:30 – 21:30,星期二: 10:30 – 21:30,星期三: 10:30 – 21:30,星期四: 10:30 – 21:30,星期五: 10:30 – 21:30,星期六: 10:30 – 21:30,星期日: 10:30 – 21:30,,FALSE,https://maps.google.com/?cid=13000210009372140269, 阿水的家,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d6134391-Reviews-A_Sui_de_Jia_Cafe-Shilin_Taipei.html,"台灣 士林台北 No. 163, Ln. 219, Sec. 7, Zhongshan N. Rd., Shilin Dist",+886 2 2874 9066,4,泰式料理,2
139,忠誠牛肉麵,111台灣台北市士林區德行東路80號,4.4,2660,25.1073276,121.5275642,+886 2 2831 8157,星期一: 休息,星期二: 11:00 – 19:30,星期三: 11:00 – 19:30,星期四: 11:00 – 19:30,星期五: 11:00 – 19:30,星期六: 11:00 – 19:30,星期日: 休息,,https://maps.google.com/?cid=17539520431804986176,1, 忠誠牛肉麵,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d7318489-Reviews-Zhong_Cheng_Beef_Noodles-Shilin_Taipei.html,台灣 士林台北 士林区德行东路80号,+886 2 2831 8157,5,現釀啤酒吧拉丁料理酒吧,9
140,上享庭園餐廳,112台灣台北市北投區中央北路一段228巷1弄4號,4.3,1033,25.1366458,121.4970598,+886 2 2894 1808,星期一: 休息,"星期二: 11:00 – 14:00, 17:00 – 21:00","星期三: 11:00 – 14:00, 17:00 – 21:00","星期四: 11:00 – 14:00, 17:00 – 21:00","星期五: 11:00 – 14:00, 17:00 – 21:00","星期六: 11:00 – 14:00, 17:00 – 21:00","星期日: 11:00 – 14:00, 17:00 – 21:00",TRUE,https://maps.google.com/?cid=7800316011658239511,2, 上享庭園餐廳,https://www.tripadvisor.com.tw/Restaurant_Review-g13806427-d6183597-Reviews-Sunshine_Garden_Restaurant-Beitou_Taipei.html,"11263 台灣 北投台北 No. 4, Aly. 1, Ln. 228, Sec. 1, Zhongyang N. Rd., Beitou Dist",+886 2 2894 1808,4.5,牛排現釀啤酒吧海鮮,11
141,松竹園,11111台灣台北市士林區永公路546號,4.3,3940,25.1398123,121.5676159,+886 2 2861 6261,"星期一: 11:30 – 16:00, 17:00 – 20:30","星期二: 11:30 – 16:00, 17:00 – 20:30","星期三: 11:30 – 16:00, 17:00 – 20:30","星期四: 11:30 – 16:00, 17:00 – 20:30","星期五: 11:30 – 16:00, 17:00 – 21:00","星期六: 11:00 – 16:00, 17:00 – 21:00","星期日: 11:00 – 16:00, 17:00 – 21:00",,https://maps.google.com/?cid=17032556407449438601,2, 松竹園,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d25299524-Reviews-Songzhu_Garden-Shilin_Taipei.html,台灣 士林台北 No. 546 Yong Road,+886 2 2861 6261,4,烤肉紅酒吧,1
142,麥當勞-台北中央餐廳,112台灣台北市北投區中央北路四段534號,3.6,1817,25.1280896,121.4678115,+886 2 2895 2638,星期一: 24 小時營業,星期二: 24 小時營業,星期三: 24 小時營業,星期四: 24 小時營業,星期五: 24 小時營業,星期六: 24 小時營業,星期日: 24 小時營業,,https://maps.google.com/?cid=7002651266870747188,1, 麥當勞 - 中央北路店,https://www.tripadvisor.com.tw/Restaurant_Review-g13806427-d17450454-Reviews-Mcdonalds_Zhongyang_North_Road-Beitou_Taipei.html,11257 台灣 北投台北 中央北路四段534号,+886 2 2895 2638,3.5,中式料理亞洲料理熟食,2
143,McCafé咖啡-台北中央店,112台灣台北市北投區中央北路四段534號1樓,4.7,51,25.1282366,121.4679008,+886 2 2895 2638,星期一: 07:00 – 22:00,星期二: 07:00 – 22:00,星期三: 07:00 – 22:00,星期四: 07:00 – 22:00,星期五: 07:00 – 22:00,星期六: 07:00 – 22:00,星期日: 07:00 – 22:00,,https://maps.google.com/?cid=12273558108793475911,, 麥當勞 - 中央北路店,https://www.tripadvisor.com.tw/Restaurant_Review-g13806427-d17450454-Reviews-Mcdonalds_Zhongyang_North_Road-Beitou_Taipei.html,11257 台灣 北投台北 中央北路四段534号,+886 2 2895 2638,3.5,泰式料理,2
144,McCafé咖啡-台北德行店,111台灣台北市士林區德行東路227號,4,36,25.1094653,121.5330289,+886 2 2836 2779,星期一: 07:00 – 22:00,星期二: 07:00 – 22:00,星期三: 07:00 – 22:00,星期四: 07:00 – 22:00,星期五: 07:00 – 22:00,星期六: 07:00 – 22:00,星期日: 07:00 – 22:00,,https://maps.google.com/?cid=4570925431368364030,, 麥當勞 台北德行店,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d4845228-Reviews-McDonald_s-Shilin_Taipei.html,"111 台灣 士林台北 No. 227, Dexing E. Rd., Shilin Dist. 1f",+886 2 2836 2779,4.5,燒烤,3
145,麥當勞-台北德行餐廳,111台灣台北市士林區德行東路227號1樓,3.5,1347,25.1094458,121.5330568,+886 2 2836 2779,星期一: 06:00 – 00:00,星期二: 06:00 – 00:00,星期三: 06:00 – 00:00,星期四: 06:00 – 00:00,星期五: 06:00 – 00:00,星期六: 06:00 – 00:00,星期日: 06:00 – 00:00,,FALSE,https://maps.google.com/?cid=14689622182146445826, 麥當勞 台北德行店,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d4845228-Reviews-McDonald_s-Shilin_Taipei.html,"111 台灣 士林台北 No. 227, Dexing E. Rd., Shilin Dist. 1f",+886 2 2836 2779,4.5,義式料理美式料理披薩,3
146,老倉庫,111台灣台北市士林區福華路146號,4.4,3167,25.1033725,121.5227565,+886 2 2833 6908,星期一: 10:00 – 21:00,星期二: 10:00 – 21:00,星期三: 10:00 – 21:00,星期四: 10:00 – 21:00,星期五: 10:00 – 21:00,星期六: 10:00 – 21:00,星期日: 10:00 – 21:00,TRUE,https://maps.google.com/?cid=1843009170984371856,2, Marcu,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d10493454-Reviews-Marcu-Shilin_Taipei.html,11158 台灣 士林台北 NUMBER 146 Fuhua Rd.,+886 2 2833 6908,5,美式料理美國南方料理亞洲料理,2
148,Just Grill,110台灣台北市信義區松高路11號誠品信義旗艦店6F,4.3,1956,25.0397197,121.5658739,+886 2 8786 6099,"星期一: 12:00 – 14:30, 18:00 – 21:30","星期二: 12:00 – 14:30, 18:00 – 21:30","星期三: 12:00 – 14:30, 18:00 – 21:30","星期四: 12:00 – 14:30, 18:00 – 21:30","星期五: 12:00 – 14:30, 18:00 – 21:30","星期六: 11:00 – 15:30, 17:00 – 21:30","星期日: 11:00 – 15:30, 17:00 – 21:30",TRUE,https://maps.google.com/?cid=14943106385761657639,3, Just Grill,https://www.tripadvisor.com.tw/Restaurant_Review-g13808515-d10006636-Reviews-Just_Grill-Xinyi_District_Taipei.html,110 台灣 信義區台北 信义区松高路11号6楼 诚品信义店6楼,+886 2 8786 6099,4,中式料理亞洲料理台灣小吃/台菜,218
149,Café&Meal MUJI 統一時代店,110台灣台北市信義區忠孝東路五段8號B2F,3.7,806,25.0405836,121.5654798,+886 2 2345 8551,星期一: 11:00 – 21:30,星期二: 11:00 – 21:30,星期三: 11:00 – 21:30,星期四: 11:00 – 21:30,星期五: 11:00 – 22:00,星期六: 11:00 – 22:00,星期日: 11:00 – 21:30,,https://maps.google.com/?cid=11924104110035498762,2, Cafe & Meal Muji Taipei,https://www.tripadvisor.com.tw/Restaurant_Review-g13808515-d8550942-Reviews-Cafe_Meal_Muji_Taipei-Xinyi_District_Taipei.html,台灣 信義區台北 信义区忠孝东路五段8号B2F(台北统一阪急百货B2),+886 2 2345 8551,4,英式料理,52
151,Old Seat Restaurant Cafe 川酒.咖啡,106台灣台北市大安區忠孝東路四段101巷29號1樓,4.6,739,25.0429867,121.5481849,+886 2 2731 0459,星期一: 休息,星期二: 12:00 – 23:30,星期三: 12:00 – 23:30,星期四: 12:00 – 23:30,星期五: 12:00 – 00:00,星期六: 12:00 – 00:00,星期日: 12:00 – 23:30,,https://maps.google.com/?cid=15871767674285782494,, 川酒＆咖啡,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d20481235-Reviews-Old_Seat_Restaurant_Cafe-Da_an_Taipei.html,"106 台灣 大安台北 1F, No. 29, Lane 101, Section 4, Zhongxiao East Road",+886 2 2731 0459,4,泰式料理,1
152,Bottless 非瓶,105台灣台北市松山區慶城街26-1號,4.5,1701,25.0538864,121.5458825,+886 2 2514 0089,"星期一: 11:00 – 15:00, 17:30 – 22:30","星期二: 11:00 – 15:00, 17:30 – 22:30","星期三: 11:00 – 15:00, 17:30 – 22:30","星期四: 11:00 – 15:00, 17:30 – 22:30","星期五: 11:00 – 15:00, 17:30 – 22:30","星期六: 11:00 – 15:00, 17:30 – 22:30","星期日: 11:00 – 15:00, 17:30 – 22:30",FALSE,https://maps.google.com/?cid=14007378354904721535,3, 非瓶,https://www.tripadvisor.com.tw/Restaurant_Review-g13806900-d20138911-Reviews-Bottless-Songshan_Taipei.html,"105 台灣 松山台北 No. 26-1, Qingcheng Street",+886 2 2514 0089,4.5,"美式料理,異國風味,現代創意料理",3
153,GYUU NIKU ステーキ專門店,110台灣台北市信義區忠孝東路五段412-6號,4.7,6582,25.0404527,121.5752978,+886 2 8780 0002,"星期一: 11:30 – 15:00, 17:00 – 22:00","星期二: 11:30 – 15:00, 17:00 – 22:00","星期三: 11:30 – 15:00, 17:00 – 22:00","星期四: 11:30 – 15:00, 17:00 – 22:00","星期五: 11:30 – 15:00, 17:00 – 22:00","星期六: 11:30 – 15:00, 17:00 – 22:00","星期日: 11:30 – 15:00, 17:00 – 22:00",,https://maps.google.com/?cid=5725664519961950829,2, Gyuu Niku,https://www.tripadvisor.com.tw/Restaurant_Review-g13808515-d18939904-Reviews-Gyuu_Niku-Xinyi_District_Taipei.html,110 台灣 信義區台北 忠孝东路五段412号,+886 2 8780 0002,4.5,義式料理,23
154,Dream.K Restaurant,105台灣台北市松山區南京東路五段250巷36弄19號,4.3,121,25.0497674,121.5671355,+886 2 2747 0777,星期一: 20:00 – 03:00,星期二: 20:00 – 03:00,星期三: 20:00 – 03:00,星期四: 20:00 – 03:00,星期五: 20:00 – 04:00,星期六: 20:00 – 04:00,星期日: 20:00 – 03:00,,https://maps.google.com/?cid=3347250734602065798,, DreamK Restaurant,https://www.tripadvisor.com.tw/Restaurant_Review-g13806900-d23120395-Reviews-Dream_K_Restaurant-Songshan_Taipei.html,"台灣 松山台北 No. 19, Aly. 36, Ln. 250, Sec. 5, Nanjing E. Rd.",+886 2 2747 0777,,印度料理亞洲料理提供素食選擇,0
155,涓豆腐 松山店,110台灣台北市信義區松山路11號號 2 樓,4.2,1362,25.049227,121.5787168,+886 2 2747 3088,"星期一: 11:00 – 14:30, 17:00 – 21:30","星期二: 11:00 – 14:30, 17:00 – 21:30","星期三: 11:00 – 14:30, 17:00 – 21:30","星期四: 11:00 – 14:30, 17:00 – 21:30","星期五: 11:00 – 14:30, 17:00 – 22:00","星期六: 11:00 – 15:30, 17:00 – 22:00","星期日: 11:00 – 15:30, 17:00 – 21:30",,https://maps.google.com/?cid=4921312337800608841,2, 涓豆腐,https://www.tripadvisor.com.tw/Restaurant_Review-g13806767-d8550715-Reviews-Dubu_House_Korean_Cuisine-Neihu_Taipei.html,台灣 內湖台北 台北市信义区松山路11号 松山店,+886 2 2747 3088,4,墨西哥料理酒吧異國風味,20
156,The Thali 塔哩印度料理,114台灣台北市內湖區民權東路六段312號,4.3,1193,25.0729605,121.6062185,+886 2 2630 5980,"星期一: 11:30 – 14:30, 17:30 – 21:30",星期二: 休息,"星期三: 11:30 – 14:30, 17:30 – 21:30","星期四: 11:30 – 14:30, 17:30 – 21:30","星期五: 11:30 – 14:30, 17:30 – 21:30","星期六: 11:30 – 14:30, 17:30 – 21:30","星期日: 11:30 – 14:30, 17:30 – 21:30",TRUE,https://maps.google.com/?cid=17165787394652670630,2, 塔哩印度料理,https://www.tripadvisor.com.tw/Restaurant_Review-g13806767-d12991214-Reviews-The_Thali-Neihu_Taipei.html,114 台灣 內湖台北 民权东路六段312号 2楼,+886 2 2630 5980,4.5,"印度料理,異國風味,燒烤",10
158,分享餐廳,110台灣台北市信義區松仁路28號B2,4.2,231,25.0396219,121.567641,+886 2 8729 2700,星期一: 11:00 – 21:30,星期二: 11:00 – 21:30,星期三: 11:00 – 21:30,星期四: 11:00 – 21:30,星期五: 11:00 – 22:00,星期六: 11:00 – 22:00,星期日: 11:00 – 21:30,TRUE,https://maps.google.com/?cid=16694148075070053121,2, 分享餐廳 We Share Everything Dining Area,https://www.tripadvisor.com.tw/Restaurant_Review-g13808515-d6940432-Reviews-We_Share_Everything_Dining_Area-Xinyi_District_Taipei.html,"台灣 信義區台北 B2F., No. 28, Songren Rd., Xinyi Dist",+886 2 8729 2700,4,牛排酒吧咖啡廳,39
159,YAYOI彌生軒 南京三民店,105台灣台北市松山區南京東路五段92.94.96號1樓,4,1276,25.051258,121.561706,+886 2 2747 8558,"星期一: 11:30 – 15:00, 17:30 – 22:00","星期二: 11:30 – 15:00, 17:30 – 22:00","星期三: 11:30 – 15:00, 17:30 – 22:00","星期四: 11:30 – 15:00, 17:30 – 22:00","星期五: 11:30 – 15:00, 17:30 – 22:00",星期六: 11:30 – 22:00,星期日: 11:30 – 22:00,,https://maps.google.com/?cid=15693159383636389524,2, Yayoi三民店,https://www.tripadvisor.com.tw/Restaurant_Review-g13806900-d10165145-Reviews-Yayoi_Sanmin-Songshan_Taipei.html,105 台灣 松山台北 松山区南京东路五段92.94.96号 1楼,+886 2 2747 8558,4.5,義式料理法式料理現代創意料理,13
160,波諾義大利料理-台北店,114台灣台北市內湖區大湖街168巷16號,4.1,689,25.0804786,121.6025071,+886 2 2796 0508,"星期一: 12:00 – 14:30, 18:00 – 22:00",星期二: 休息,"星期三: 12:00 – 14:30, 18:00 – 22:00","星期四: 12:00 – 14:30, 18:00 – 22:00","星期五: 12:00 – 14:30, 18:00 – 22:00","星期六: 11:30 – 15:30, 17:30 – 21:30","星期日: 11:30 – 15:30, 17:30 – 21:30",TRUE,https://maps.google.com/?cid=11050957075080473287,, 波諾義大利料理-台北,https://www.tripadvisor.com.tw/Restaurant_Review-g13806767-d19365126-Reviews-Buono_Bella_Italian_Restaurant_Taipei-Neihu_Taipei.html,"114 台灣 內湖台北 No. 16, Lane 168, Dahu Street",+886 2 2796 0508,5,印度料理,1
161,大和日本料理忠孝店,106台灣台北市大安區忠孝東路四段312號,4.1,1636,25.0408021,121.5568737,+886 2 2781 1869,"星期一: 11:15 – 14:00, 17:00 – 21:30","星期二: 11:15 – 14:00, 17:00 – 21:30","星期三: 11:15 – 14:00, 17:00 – 21:30","星期四: 11:15 – 14:00, 17:00 – 21:30","星期五: 11:15 – 14:00, 17:00 – 21:30","星期六: 11:15 – 14:00, 17:00 – 21:30","星期日: 11:15 – 14:00, 17:00 – 21:30",,https://maps.google.com/?cid=15515066500272374443,2, 大和日本料理（忠孝店）,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d10715662-Reviews-Yamato_Japanese_Restaurant_Zhongxiao_Store-Da_an_Taipei.html,106 台灣 大安台北 忠孝东路四段312号,+886 2 2781 1869,4,日式料理,14
162,MOVE Restaurant 𝄞 Bar-台北美食 東區美食 大安區美食 台北酒吧 東區酒吧 大安區酒吧 忠孝復興酒吧 台北水煙 東區水煙 大安區水煙,106台灣台北市大安區復興南路一段107巷5弄21號,4.9,658,25.0443396,121.5453129,+886 2 2731 0102,星期一: 18:00 – 02:00,星期二: 18:00 – 02:00,星期三: 18:00 – 02:00,星期四: 18:00 – 02:00,星期五: 18:00 – 03:00,星期六: 18:00 – 03:00,星期日: 18:00 – 02:00,,https://maps.google.com/?cid=11361832120002884550,2, Elfin Restaurant And Lounge,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d11535853-Reviews-Elfin_Restaurant_Lounge-Da_an_Taipei.html,106 台灣 大安台北 复兴南路1段107巷5弄21号,+886 2 2731 0102,4,"義式料理,牛排,酒吧",36
163,水礦 Restaurant & Cafe,106台灣台北市大安區大安路一段19巷4號1樓,4.3,363,25.0443679,121.5463966,+886 908 790 805,星期一: 休息,"星期二: 11:30 – 15:00, 17:00 – 22:00","星期三: 11:30 – 15:00, 17:00 – 22:00","星期四: 11:30 – 15:00, 17:00 – 22:00","星期五: 11:30 – 15:00, 17:00 – 22:00",星期六: 11:30 – 22:00,星期日: 11:30 – 21:00,,https://maps.google.com/?cid=6318746472679537218,2, 水礦咖啡餐廳,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d17432714-Reviews-WaterOre-Da_an_Taipei.html,台灣 大安台北 大安路一段19巷4号,+886 908 790 805,,美式料理異國風味燒烤,0
164,My Other Place Restaurant &Bar 我的家餐廳酒吧,"1樓, No. 303號復興北路松山區台北市台灣 10544",4.4,329,25.0582671,121.5444028,+886 2 2718 7826,星期一: 18:00 – 02:00,星期二: 18:00 – 02:00,星期三: 18:00 – 02:00,星期四: 18:00 – 02:00,星期五: 18:00 – 02:00,星期六: 18:00 – 02:00,星期日: 休息,,https://maps.google.com/?cid=3749543388255195163,2, My Other Place,https://www.tripadvisor.com.tw/Restaurant_Review-g13806900-d6580017-Reviews-My_Other_Place-Songshan_Taipei.html,"台灣 松山台北 No. 303 Fuxing North Road, Songshan District",+886 2 2718 7826,4,日式料理提供素食選擇提供純素選擇,23
